Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_1 Spectral Count	A_2 Spectral Count	A_3 Spectral Count	B_1 Spectral Count	B_2 Spectral Count	B_3 Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	D_1 Spectral Count	D_2 Spectral Count	D_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	A_1 Unique Spectral Count	A_2 Unique Spectral Count	A_3 Unique Spectral Count	B_1 Unique Spectral Count	B_2 Unique Spectral Count	B_3 Unique Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	D_1 Unique Spectral Count	D_2 Unique Spectral Count	D_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	A_1 Total Spectral Count	A_2 Total Spectral Count	A_3 Total Spectral Count	B_1 Total Spectral Count	B_2 Total Spectral Count	B_3 Total Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	D_1 Total Spectral Count	D_2 Total Spectral Count	D_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	A_1 Intensity	A_2 Intensity	A_3 Intensity	B_1 Intensity	B_2 Intensity	B_3 Intensity	C_1 Intensity	C_2 Intensity	C_3 Intensity	D_1 Intensity	D_2 Intensity	D_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	A_1 Unique Intensity	A_2 Unique Intensity	A_3 Unique Intensity	B_1 Unique Intensity	B_2 Unique Intensity	B_3 Unique Intensity	C_1 Unique Intensity	C_2 Unique Intensity	C_3 Unique Intensity	D_1 Unique Intensity	D_2 Unique Intensity	D_3 Unique Intensity	E_1 Unique Intensity	E_2 Unique Intensity	E_3 Unique Intensity	A_1 Total Intensity	A_2 Total Intensity	A_3 Total Intensity	B_1 Total Intensity	B_2 Total Intensity	B_3 Total Intensity	C_1 Total Intensity	C_2 Total Intensity	C_3 Total Intensity	D_1 Total Intensity	D_2 Total Intensity	D_3 Total Intensity	E_1 Total Intensity	E_2 Total Intensity	E_3 Total Intensity	A_1 MaxLFQ Intensity	A_2 MaxLFQ Intensity	A_3 MaxLFQ Intensity	B_1 MaxLFQ Intensity	B_2 MaxLFQ Intensity	B_3 MaxLFQ Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	D_1 MaxLFQ Intensity	D_2 MaxLFQ Intensity	D_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	A_1 MaxLFQ Unique Intensity	A_2 MaxLFQ Unique Intensity	A_3 MaxLFQ Unique Intensity	B_1 MaxLFQ Unique Intensity	B_2 MaxLFQ Unique Intensity	B_3 MaxLFQ Unique Intensity	C_1 MaxLFQ Unique Intensity	C_2 MaxLFQ Unique Intensity	C_3 MaxLFQ Unique Intensity	D_1 MaxLFQ Unique Intensity	D_2 MaxLFQ Unique Intensity	D_3 MaxLFQ Unique Intensity	E_1 MaxLFQ Unique Intensity	E_2 MaxLFQ Unique Intensity	E_3 MaxLFQ Unique Intensity	A_1 MaxLFQ Total Intensity	A_2 MaxLFQ Total Intensity	A_3 MaxLFQ Total Intensity	B_1 MaxLFQ Total Intensity	B_2 MaxLFQ Total Intensity	B_3 MaxLFQ Total Intensity	C_1 MaxLFQ Total Intensity	C_2 MaxLFQ Total Intensity	C_3 MaxLFQ Total Intensity	D_1 MaxLFQ Total Intensity	D_2 MaxLFQ Total Intensity	D_3 MaxLFQ Total Intensity	E_1 MaxLFQ Total Intensity	E_2 MaxLFQ Total Intensity	E_3 MaxLFQ Total Intensity	Indistinguishable Proteins
contam_sp|O77727|K1C15_SHEEP	contam_sp|O77727|K1C15_SHEEP Keratin, type I cytoskeletal 15 OS=Ovis aries GN=KRT15 PE=2 SV=1	contam_sp|O77727|K1C15_SHEEP Keratin, type I cytoskeletal 15 OS=Ovis aries GN=KRT15 PE=2 SV=1		453	11.90			Keratin,	1.0000	0.9947	2	6	0	6	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	2	1	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	849686.8	0.0	0.0	0.0	1030494.1	2101384.5	2905715.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	849686.8	0.0	0.0	0.0	1030494.1	2101384.5	2905715.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	884869.56	861965.75	0.0	0.0	1073176.5	2188396.0	3026032.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	884869.56	861965.75	0.0	0.0	1073176.5	2188396.0	3026032.0	
contam_sp|P00330|ADH1_YEAST	contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5	contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5		348	47.70			Alcohol	1.0000	0.9990	17	292	203	292	18	17	12	17	18	14	18	19	16	31	24	28	21	19	20	14	11	9	10	13	11	12	13	12	24	15	19	13	12	15	18	17	12	17	18	14	18	19	16	31	24	28	21	19	20	3.07303776E8	4.9749792E8	9.4641904E7	4.76810304E8	4.89612544E8	4.41947616E8	4.10091712E8	110150.92	4.64376096E8	3.65646848E8	7.7093651E8	7.1977421E8	6.6573485E8	9.0405555E8	4.2454704E8	3.32097472E8	1.24705672E8	1.13765496E8	5.509102E7	8.9508824E7	7.0326E7	8.2412288E7	2.1671914E7	9.1967376E7	3.95895296E8	3.8940816E8	4.2024288E8	5.5266278E8	5.984199E8	8.8503352E7	3.07303776E8	4.9749792E8	9.4641904E7	4.76810304E8	4.89612544E8	4.41947616E8	4.10091712E8	110150.92	4.64376096E8	3.65646848E8	7.7093651E8	7.1977421E8	6.6573485E8	9.0405555E8	4.2454704E8	2.73518496E8	2.46349744E8	1.90651312E8	1.89029664E8	1.67192528E8	2.13084496E8	2.17002016E8	2.48720256E8	2.3473424E8	3.86470016E8	6.3465088E8	5.22910944E8	6.730169E8	7.8509267E8	5.23218912E8	1.34373488E8	1.14738656E8	1.2072416E8	5.5924448E7	7.6760976E7	1.04495608E8	8.8859528E7	9.9772536E7	1.2415652E8	1.56433808E8	3.35838656E8	2.7958624E8	3.66118336E8	4.35563136E8	2.47459968E8	2.73518496E8	2.46349744E8	1.90651312E8	1.89029664E8	1.67192528E8	2.13084496E8	2.17002016E8	2.48720256E8	2.3473424E8	3.86470016E8	6.3465088E8	5.22910944E8	6.730169E8	7.8509267E8	5.23218912E8	
contam_sp|P00761|TRYP_PIG	contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1	contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1		231	7.80			Trypsin	1.0000	0.9990	2	50	50	50	3	3	4	3	5	4	5	3	5	2	3	3	2	3	2	3	3	4	3	5	4	5	3	5	2	3	3	2	3	2	3	3	4	3	5	4	5	3	5	2	3	3	2	3	2	1.32968973E9	1.31790272E9	1.51200368E8	1.09012595E9	1.27269606E9	1.48058509E9	1.45159296E9	1.47994848E8	1.59050384E8	6.8322598E8	1.2538816E9	4.42554048E8	6.4875206E8	1.57184E8	1.45503821E9	1.32968973E9	1.31790272E9	1.51200368E8	1.09012595E9	1.27269606E9	1.48058509E9	1.45159296E9	1.47994848E8	1.59050384E8	6.8322598E8	1.2538816E9	4.42554048E8	6.4875206E8	1.57184E8	1.45503821E9	1.32968973E9	1.31790272E9	1.51200368E8	1.09012595E9	1.27269606E9	1.48058509E9	1.45159296E9	1.47994848E8	1.59050384E8	6.8322598E8	1.2538816E9	4.42554048E8	6.4875206E8	1.57184E8	1.45503821E9	8.7746867E8	8.7762726E8	8.6591558E8	9.3319923E8	8.8377965E8	9.7131046E8	1.24263206E9	8.4755776E8	1.00181952E8	1.98764256E8	9.0092454E8	4.80634176E8	1.36576656E8	9.0018349E8	1.04773824E9	8.7746867E8	8.7762726E8	8.6591558E8	9.3319923E8	8.8377965E8	9.7131046E8	1.24263206E9	8.4755776E8	1.00181952E8	1.98764256E8	9.0092454E8	4.80634176E8	1.36576656E8	9.0018349E8	1.04773824E9	8.7746867E8	8.7762726E8	8.6591558E8	9.3319923E8	8.8377965E8	9.7131046E8	1.24263206E9	8.4755776E8	1.00181952E8	1.98764256E8	9.0092454E8	4.80634176E8	1.36576656E8	9.0018349E8	1.04773824E9	
contam_sp|P02769|ALBU_BOVIN	contam_sp|P02769|ALBU_BOVIN Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4	contam_sp|P02769|ALBU_BOVIN Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4		607	17.60			Serum	1.0000	0.9990	9	18	18	30	0	5	0	0	3	0	0	1	0	0	3	2	1	3	0	0	5	0	0	3	0	0	1	0	0	3	2	1	3	0	0	6	0	0	3	0	0	1	0	1	6	3	1	6	3	0.0	3235880.8	0.0	0.0	987751.5	0.0	0.0	1098153.4	0.0	0.0	1351186.0	529594.94	658511.7	1465365.5	0.0	0.0	3235880.8	0.0	0.0	987751.5	0.0	0.0	1098153.4	0.0	0.0	1351186.0	529594.94	658511.7	1465365.5	0.0	0.0	7768542.5	0.0	0.0	987751.5	0.0	0.0	1098153.4	0.0	0.0	4901071.0	3033489.2	658511.7	7689920.5	5084471.5	0.0	2145024.0	0.0	0.0	978455.7	0.0	0.0	1087805.4	0.0	0.0	918106.4	1158899.5	1482469.9	1061993.0	0.0	0.0	2145024.0	0.0	0.0	978455.7	0.0	0.0	1087805.4	0.0	0.0	918106.4	1158899.5	1482469.9	1061993.0	0.0	0.0	6247575.0	0.0	0.0	3088616.0	0.0	0.0	3433791.8	0.0	1865424.0	2830885.2	3301719.8	4561185.0	3721183.5	5491010.0	
contam_sp|P32503|GAG_SCVLA	contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A GN=gag PE=1 SV=1	contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A GN=gag PE=1 SV=1		680	10.40			Major	1.0000	0.9990	8	79	79	79	4	6	5	5	5	4	4	6	6	6	6	5	5	6	6	4	6	5	5	5	4	4	6	6	6	6	5	5	6	6	4	6	5	5	5	4	4	6	6	6	6	5	5	6	6	3.6279872E7	9629651.0	2.8452722E7	3.4946316E7	1.9126466E7	2.3306198E7	2.3342992E7	3.0958996E7	2.8918662E7	3.1998136E7	3.407134E7	1.7148486E7	2.8406558E7	1.9808904E7	9314000.0	3.6279872E7	9629651.0	2.8452722E7	3.4946316E7	1.9126466E7	2.3306198E7	2.3342992E7	3.0958996E7	2.8918662E7	3.1998136E7	3.407134E7	1.7148486E7	2.8406558E7	1.9808904E7	9314000.0	3.6279872E7	9629651.0	2.8452722E7	3.4946316E7	1.9126466E7	2.3306198E7	2.3342992E7	3.0958996E7	2.8918662E7	3.1998136E7	3.407134E7	1.7148486E7	2.8406558E7	1.9808904E7	9314000.0	1.4667784E7	1.0983776E7	1.0338095E7	1.1242209E7	7939195.0	9544580.0	1.6525714E7	1.2331449E7	1.1772221E7	2.7103792E7	2.7116304E7	3.1299418E7	2.6488702E7	2.4619712E7	1.8681126E7	1.4667784E7	1.0983776E7	1.0338095E7	1.1242209E7	7939195.0	9544580.0	1.6525714E7	1.2331449E7	1.1772221E7	2.7103792E7	2.7116304E7	3.1299418E7	2.6488702E7	2.4619712E7	1.8681126E7	1.4667784E7	1.0983776E7	1.0338095E7	1.1242209E7	7939195.0	9544580.0	1.6525714E7	1.2331449E7	1.1772221E7	2.7103792E7	2.7116304E7	3.1299418E7	2.6488702E7	2.4619712E7	1.8681126E7	
sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	44.10	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 C	1.0000	0.9990	10	45	45	45	1	0	0	0	1	1	0	4	0	3	7	7	4	9	8	1	0	0	0	1	1	0	4	0	3	7	7	4	9	8	1	0	0	0	1	1	0	4	0	3	7	7	4	9	8	988848.44	0.0	0.0	0.0	3011921.8	2709251.0	0.0	1.1523466E7	0.0	2725836.8	4.6983128E7	4.1324276E7	8.6847976E7	1.3780341E7	1.42456208E8	988848.44	0.0	0.0	0.0	3011921.8	2709251.0	0.0	1.1523466E7	0.0	2725836.8	4.6983128E7	4.1324276E7	8.6847976E7	1.3780341E7	1.42456208E8	988848.44	0.0	0.0	0.0	3011921.8	2709251.0	0.0	1.1523466E7	0.0	2725836.8	4.6983128E7	4.1324276E7	8.6847976E7	1.3780341E7	1.42456208E8	699731.06	0.0	0.0	0.0	2131302.5	1917126.1	0.0	5402443.5	2.6756762E7	3.0260898E7	2.9115258E7	2.466319E7	8.4738048E7	1.24358624E8	1.04385776E8	699731.06	0.0	0.0	0.0	2131302.5	1917126.1	0.0	5402443.5	2.6756762E7	3.0260898E7	2.9115258E7	2.466319E7	8.4738048E7	1.24358624E8	1.04385776E8	699731.06	0.0	0.0	0.0	2131302.5	1917126.1	0.0	5402443.5	2.6756762E7	3.0260898E7	2.9115258E7	2.466319E7	8.4738048E7	1.24358624E8	1.04385776E8	
sp|O13516|RS9A_YEAST	O13516	RS9A_YEAST	RPS9A	197	54.30	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S9-A -	1.0000	0.9990	12	116	7	116	6	6	6	7	8	9	6	8	8	8	10	8	9	8	9	0	0	0	0	1	1	0	1	1	0	1	0	0	1	1	6	6	6	7	8	9	6	8	8	8	10	8	9	8	9	3.276896E8	1.92253312E8	7.432496E7	1.91103824E8	6.122932E7	1.82145184E8	3.19688576E8	1.08597056E8	3.36284288E8	1.73760304E8	2.0940224E8	2.83473792E8	1.94928736E8	2.22071264E8	1.23817464E8	0.0	0.0	0.0	0.0	868911.5	669683.94	0.0	704136.75	590831.1	0.0	490721.38	0.0	0.0	959384.8	957754.7	3.276896E8	1.92253312E8	7.432496E7	1.91103824E8	6.122932E7	1.82145184E8	3.19688576E8	1.08597056E8	3.36284288E8	1.73760304E8	2.0940224E8	2.83473792E8	1.94928736E8	2.22071264E8	1.23817464E8	1.26948624E8	1.4208728E8	4.2856984E7	6.3257088E7	7.820048E7	9.4036424E7	1.50922304E8	7.8413432E7	8.4626992E7	1.55230768E8	1.58039696E8	1.63759248E8	1.40867024E8	1.56674304E8	1.32027976E8	0.0	0.0	0.0	0.0	868911.5	669683.94	0.0	704136.75	590831.1	0.0	490721.38	0.0	0.0	959384.8	957754.7	1.26948624E8	1.4208728E8	4.2856984E7	6.3257088E7	7.820048E7	9.4036424E7	1.50922304E8	7.8413432E7	8.4626992E7	1.55230768E8	1.58039696E8	1.63759248E8	1.40867024E8	1.56674304E8	1.32027976E8	
sp|O13563|RPN13_YEAST	O13563	RPN13_YEAST	RPN13	156	21.20	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN13 -	1.0000	0.9990	2	18	18	18	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1	1	1	1	1	1	1	1	1	1	2	2	1	2	1	1800310.2	1332616.1	1750929.6	1208465.9	1310692.8	1531251.0	1669598.8	1548429.2	1480081.6	1532580.2	1503408.4	1895763.5	1334276.8	1591559.5	2065304.1	1800310.2	1332616.1	1750929.6	1208465.9	1310692.8	1531251.0	1669598.8	1548429.2	1480081.6	1532580.2	1503408.4	1895763.5	1334276.8	1591559.5	2065304.1	1800310.2	1332616.1	1750929.6	1208465.9	1310692.8	1531251.0	1669598.8	1548429.2	1480081.6	1532580.2	1503408.4	1895763.5	1334276.8	1591559.5	2065304.1	1800310.2	1332616.1	1750929.6	1208465.9	1310692.8	1531251.0	1669598.8	1548429.2	1480081.6	1532580.2	1470259.9	1927156.5	1334276.8	1600932.2	2065304.1	1800310.2	1332616.1	1750929.6	1208465.9	1310692.8	1531251.0	1669598.8	1548429.2	1480081.6	1532580.2	1470259.9	1927156.5	1334276.8	1600932.2	2065304.1	1800310.2	1332616.1	1750929.6	1208465.9	1310692.8	1531251.0	1669598.8	1548429.2	1480081.6	1532580.2	1470259.9	1927156.5	1334276.8	1600932.2	2065304.1	
sp|O14455|RL36B_YEAST	O14455	RL36B_YEAST	RPL36B	100	59.00	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L36-B -	1.0000	0.9990	7	81	26	81	4	6	8	4	4	6	4	3	5	5	9	5	4	7	7	0	3	3	1	1	2	0	2	2	0	4	2	0	3	3	4	6	8	4	4	6	4	3	5	5	9	5	4	7	7	1.94079408E8	2.10064384E8	1.5999024E8	9.1826616E7	1.71081824E8	1.61685632E8	2.42562E8	8.9662808E7	1.76639616E8	1.13095992E8	1.38233888E8	2.49176144E8	8.5618272E7	9.215148E7	2.39508512E8	0.0	6.6264072E7	5.5817204E7	2.29352E7	5.1346528E7	4.9433848E7	0.0	2.9603618E7	2.6474276E7	0.0	5.205108E7	4.2026036E7	0.0	3854471.5	5.163724E7	1.94079408E8	2.10064384E8	1.5999024E8	9.1826616E7	1.71081824E8	1.61685632E8	2.42562E8	8.9662808E7	1.76639616E8	1.13095992E8	1.38233888E8	2.49176144E8	8.5618272E7	9.215148E7	2.39508512E8	1.1780732E8	1.02420056E8	8.190892E7	3.6219776E7	8.9512152E7	8.598316E7	9.2384056E7	1.38631984E8	8.7584592E7	1.6373456E8	5.4523464E7	9.786792E7	1.62014656E8	7.0463752E7	9.4304336E7	0.0	4.978032E7	4.1405672E7	2.0811494E7	3.7257696E7	3.570212E7	0.0	5.5198632E7	2.9081918E7	0.0	1.4499896E7	1.91265E7	0.0	9818286.0	2.0224534E7	1.1780732E8	1.02420056E8	8.190892E7	3.6219776E7	8.9512152E7	8.598316E7	9.2384056E7	1.38631984E8	8.7584592E7	1.6373456E8	5.4523464E7	9.786792E7	1.62014656E8	7.0463752E7	9.4304336E7	
sp|O14467|MBF1_YEAST	O14467	MBF1_YEAST	MBF1	151	62.30	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Multiprotein-bridging factor 1 -	1.0000	0.9990	8	53	53	53	2	3	5	2	3	4	1	5	4	1	5	5	3	6	4	2	3	5	2	3	4	1	5	4	1	5	5	3	6	4	2	3	5	2	3	4	1	5	4	1	5	5	3	6	4	1.2590202E7	2.2133248E7	2.3591958E7	1.0236422E7	2.0812844E7	1.8836682E7	1.6641352E7	2.1282528E7	2.414694E7	0.0	2.1476678E7	2.128602E7	1079927.4	2.1498546E7	2.1471434E7	1.2590202E7	2.2133248E7	2.3591958E7	1.0236422E7	2.0812844E7	1.8836682E7	1.6641352E7	2.1282528E7	2.414694E7	0.0	2.1476678E7	2.128602E7	1079927.4	2.1498546E7	2.1471434E7	1.2590202E7	2.2133248E7	2.3591958E7	1.0236422E7	2.0812844E7	1.8836682E7	1.6641352E7	2.1282528E7	2.414694E7	0.0	2.1476678E7	2.128602E7	1079927.4	2.1498546E7	2.1471434E7	1.0893824E7	1.2077616E7	1.1132547E7	1.1660769E7	1.164386E7	8388680.0	1.750555E7	9495556.0	1.2305439E7	2.1637746E7	1.2798149E7	1.2488642E7	2760666.2	1.360316E7	1.2240067E7	1.0893824E7	1.2077616E7	1.1132547E7	1.1660769E7	1.164386E7	8388680.0	1.750555E7	9495556.0	1.2305439E7	2.1637746E7	1.2798149E7	1.2488642E7	2760666.2	1.360316E7	1.2240067E7	1.0893824E7	1.2077616E7	1.1132547E7	1.1660769E7	1.164386E7	8388680.0	1.750555E7	9495556.0	1.2305439E7	2.1637746E7	1.2798149E7	1.2488642E7	2760666.2	1.360316E7	1.2240067E7	
