Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_1 Spectral Count	A_2 Spectral Count	A_3 Spectral Count	B_1 Spectral Count	B_2 Spectral Count	B_3 Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	D_1 Spectral Count	D_2 Spectral Count	D_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	A_1 Unique Spectral Count	A_2 Unique Spectral Count	A_3 Unique Spectral Count	B_1 Unique Spectral Count	B_2 Unique Spectral Count	B_3 Unique Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	D_1 Unique Spectral Count	D_2 Unique Spectral Count	D_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	A_1 Total Spectral Count	A_2 Total Spectral Count	A_3 Total Spectral Count	B_1 Total Spectral Count	B_2 Total Spectral Count	B_3 Total Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	D_1 Total Spectral Count	D_2 Total Spectral Count	D_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	A_1 Intensity	A_2 Intensity	A_3 Intensity	B_1 Intensity	B_2 Intensity	B_3 Intensity	C_1 Intensity	C_2 Intensity	C_3 Intensity	D_1 Intensity	D_2 Intensity	D_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	A_1 Unique Intensity	A_2 Unique Intensity	A_3 Unique Intensity	B_1 Unique Intensity	B_2 Unique Intensity	B_3 Unique Intensity	C_1 Unique Intensity	C_2 Unique Intensity	C_3 Unique Intensity	D_1 Unique Intensity	D_2 Unique Intensity	D_3 Unique Intensity	E_1 Unique Intensity	E_2 Unique Intensity	E_3 Unique Intensity	A_1 Total Intensity	A_2 Total Intensity	A_3 Total Intensity	B_1 Total Intensity	B_2 Total Intensity	B_3 Total Intensity	C_1 Total Intensity	C_2 Total Intensity	C_3 Total Intensity	D_1 Total Intensity	D_2 Total Intensity	D_3 Total Intensity	E_1 Total Intensity	E_2 Total Intensity	E_3 Total Intensity	A_1 MaxLFQ Intensity	A_2 MaxLFQ Intensity	A_3 MaxLFQ Intensity	B_1 MaxLFQ Intensity	B_2 MaxLFQ Intensity	B_3 MaxLFQ Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	D_1 MaxLFQ Intensity	D_2 MaxLFQ Intensity	D_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	A_1 MaxLFQ Unique Intensity	A_2 MaxLFQ Unique Intensity	A_3 MaxLFQ Unique Intensity	B_1 MaxLFQ Unique Intensity	B_2 MaxLFQ Unique Intensity	B_3 MaxLFQ Unique Intensity	C_1 MaxLFQ Unique Intensity	C_2 MaxLFQ Unique Intensity	C_3 MaxLFQ Unique Intensity	D_1 MaxLFQ Unique Intensity	D_2 MaxLFQ Unique Intensity	D_3 MaxLFQ Unique Intensity	E_1 MaxLFQ Unique Intensity	E_2 MaxLFQ Unique Intensity	E_3 MaxLFQ Unique Intensity	A_1 MaxLFQ Total Intensity	A_2 MaxLFQ Total Intensity	A_3 MaxLFQ Total Intensity	B_1 MaxLFQ Total Intensity	B_2 MaxLFQ Total Intensity	B_3 MaxLFQ Total Intensity	C_1 MaxLFQ Total Intensity	C_2 MaxLFQ Total Intensity	C_3 MaxLFQ Total Intensity	D_1 MaxLFQ Total Intensity	D_2 MaxLFQ Total Intensity	D_3 MaxLFQ Total Intensity	E_1 MaxLFQ Total Intensity	E_2 MaxLFQ Total Intensity	E_3 MaxLFQ Total Intensity	Indistinguishable Proteins
contam_sp|P00330|ADH1_YEAST	contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5	contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5		348	47.70			Alcohol	1.0000	0.9990	18	276	169	276	15	21	19	16	22	21	16	20	21	15	17	19	19	18	17	10	13	11	10	14	13	10	14	13	9	9	11	14	9	9	15	21	19	16	22	21	16	20	21	15	17	19	19	18	17	6.9539552E8	6.0514726E8	6.245913E8	5.8754496E8	5.7592858E8	6.2208627E8	5.14572032E8	5.6684352E8	5.8703149E8	6.409344E8	6.0548416E8	6.1620403E8	6.5007782E8	3.25892864E8	6.4415155E8	6.614089E8	3.99431424E8	4.8965376E8	4.2694432E8	4.48423648E8	4.23988096E8	3.86180992E8	3.96496E8	4.1653536E8	5.11680448E8	5.2889888E8	5.17472288E8	5.34477792E8	2.35311808E8	5.708448E8	6.9539552E8	6.0514726E8	6.245913E8	5.8754496E8	5.7592858E8	6.2208627E8	5.14572032E8	5.6684352E8	5.8703149E8	6.409344E8	6.0548416E8	6.1620403E8	6.5007782E8	3.25892864E8	6.4415155E8	2.4288872E8	2.47383536E8	2.538988E8	2.287576E8	2.60427216E8	2.52735168E8	2.26686528E8	2.48019808E8	2.56206544E8	2.46869808E8	2.66593552E8	2.56937088E8	2.52509344E8	2.54143424E8	2.51769888E8	2.37685424E8	2.42305216E8	2.51194432E8	2.20926016E8	2.62774528E8	2.46106864E8	2.30923456E8	2.47502512E8	2.56230592E8	2.32671472E8	2.59533408E8	2.50716816E8	2.37563504E8	2.43651984E8	2.44585952E8	2.4288872E8	2.47383536E8	2.538988E8	2.287576E8	2.60427216E8	2.52735168E8	2.26686528E8	2.48019808E8	2.56206544E8	2.46869808E8	2.66593552E8	2.56937088E8	2.52509344E8	2.54143424E8	2.51769888E8	
contam_sp|P00761|TRYP_PIG	contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1	contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1		231	16.50			Trypsin	1.0000	0.9990	3	41	41	41	2	2	2	3	2	3	3	2	2	3	3	3	3	4	4	2	2	2	3	2	3	3	2	2	3	3	3	3	4	4	2	2	2	3	2	3	3	2	2	3	3	3	3	4	4	4.61259328E8	5.00098464E8	5.29899136E8	5.16659072E8	5.720745E8	5.3744685E8	5.0895936E8	5.4244742E8	5.6853414E8	4.98380096E8	5.21586208E8	5.32882816E8	5.426976E8	5.7559418E8	5.7725587E8	4.61259328E8	5.00098464E8	5.29899136E8	5.16659072E8	5.720745E8	5.3744685E8	5.0895936E8	5.4244742E8	5.6853414E8	4.98380096E8	5.21586208E8	5.32882816E8	5.426976E8	5.7559418E8	5.7725587E8	4.61259328E8	5.00098464E8	5.29899136E8	5.16659072E8	5.720745E8	5.3744685E8	5.0895936E8	5.4244742E8	5.6853414E8	4.98380096E8	5.21586208E8	5.32882816E8	5.426976E8	5.7559418E8	5.7725587E8	4.21512032E8	4.13128416E8	4.31467328E8	4.771328E8	4.43722112E8	4.66829824E8	4.64242752E8	4.38043104E8	4.76188832E8	4.76641536E8	4.54389696E8	4.83630368E8	5.22998976E8	4.98349696E8	5.03492768E8	4.21512032E8	4.13128416E8	4.31467328E8	4.771328E8	4.43722112E8	4.66829824E8	4.64242752E8	4.38043104E8	4.76188832E8	4.76641536E8	4.54389696E8	4.83630368E8	5.22998976E8	4.98349696E8	5.03492768E8	4.21512032E8	4.13128416E8	4.31467328E8	4.771328E8	4.43722112E8	4.66829824E8	4.64242752E8	4.38043104E8	4.76188832E8	4.76641536E8	4.54389696E8	4.83630368E8	5.22998976E8	4.98349696E8	5.03492768E8	
contam_sp|P02769|ALBU_BOVIN	contam_sp|P02769|ALBU_BOVIN Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4	contam_sp|P02769|ALBU_BOVIN Serum albumin OS=Bos taurus GN=ALB PE=1 SV=4		607	26.00			Serum	1.0000	0.9990	10	20	20	31	0	1	1	1	2	1	1	1	3	1	1	1	0	3	3	0	1	1	1	2	1	1	1	3	1	1	1	0	3	3	0	1	1	1	2	1	2	2	3	2	2	1	2	6	5	115857.69	290842.75	299496.06	83308.695	410147.56	279072.3	0.0	374381.1	267173.0	0.0	483648.44	261954.86	0.0	495225.66	44179.285	115857.69	290842.75	299496.06	83308.695	410147.56	279072.3	0.0	374381.1	267173.0	0.0	483648.44	261954.86	0.0	495225.66	44179.285	975208.9	1256488.8	1036019.5	1226932.6	1454722.2	1170718.5	1578254.2	2183581.8	1873371.8	3832421.2	5017032.5	4203128.0	1.0604695E7	1.1521438E7	1.1339158E7	302232.22	758707.1	629078.6	248380.16	787183.7	526337.25	404528.9	1022891.8	399799.8	512832.7	854315.5	490081.44	1496644.2	933188.75	606164.6	302232.22	758707.1	629078.6	248380.16	787183.7	526337.25	404528.9	1022891.8	399799.8	512832.7	854315.5	490081.44	1496644.2	933188.75	606164.6	934090.06	1409361.2	1380828.2	1053981.0	1863999.6	1438634.8	1737057.6	2418844.5	1601283.6	4153918.8	3881590.2	2298033.2	1.1726609E7	6039937.5	8217515.5	
contam_sp|P32503|GAG_SCVLA	contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A GN=gag PE=1 SV=1	contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A GN=gag PE=1 SV=1		680	30.40			Major	1.0000	0.9990	12	88	88	88	5	4	6	4	5	6	6	6	6	5	6	6	8	8	7	5	4	6	4	5	6	6	6	6	5	6	6	8	8	7	5	4	6	4	5	6	6	6	6	5	6	6	8	8	7	2.6031076E7	2.6784624E7	2.6198648E7	3.0593954E7	3.366792E7	2.6915344E7	2.3840798E7	2.6887816E7	2.6918468E7	2.4558096E7	2.8603932E7	2.6091188E7	2.3725654E7	1.7739866E7	2.4974556E7	2.6031076E7	2.6784624E7	2.6198648E7	3.0593954E7	3.366792E7	2.6915344E7	2.3840798E7	2.6887816E7	2.6918468E7	2.4558096E7	2.8603932E7	2.6091188E7	2.3725654E7	1.7739866E7	2.4974556E7	2.6031076E7	2.6784624E7	2.6198648E7	3.0593954E7	3.366792E7	2.6915344E7	2.3840798E7	2.6887816E7	2.6918468E7	2.4558096E7	2.8603932E7	2.6091188E7	2.3725654E7	1.7739866E7	2.4974556E7	1.0524404E7	1.0387777E7	1.012302E7	9858355.0	1.1021275E7	1.0212034E7	8973099.0	9975032.0	1.0126539E7	9773864.0	1.0922911E7	1.039338E7	1.0217436E7	1.0396797E7	9982606.0	1.0524404E7	1.0387777E7	1.012302E7	9858355.0	1.1021275E7	1.0212034E7	8973099.0	9975032.0	1.0126539E7	9773864.0	1.0922911E7	1.039338E7	1.0217436E7	1.0396797E7	9982606.0	1.0524404E7	1.0387777E7	1.012302E7	9858355.0	1.1021275E7	1.0212034E7	8973099.0	9975032.0	1.0126539E7	9773864.0	1.0922911E7	1.039338E7	1.0217436E7	1.0396797E7	9982606.0	
contam_sp|P68082|MYG_HORSE	contam_sp|P68082|MYG_HORSE Myoglobin OS=Equus caballus GN=MB PE=1 SV=2	contam_sp|P68082|MYG_HORSE Myoglobin OS=Equus caballus GN=MB PE=1 SV=2		154	17.50			Myoglobin	1.0000	0.9923	2	9	9	9	0	0	0	0	0	0	0	0	0	0	2	0	2	2	3	0	0	0	0	0	0	0	0	0	0	2	0	2	2	3	0	0	0	0	0	0	0	0	0	0	2	0	2	2	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9904201.0	8709465.0	6.0173392E7	5.3712016E7	4.9804872E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9904201.0	8709465.0	6.0173392E7	5.3712016E7	4.9804872E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9904201.0	8709465.0	6.0173392E7	5.3712016E7	4.9804872E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0060894E7	8573820.0	4.024458E7	3.600116E7	3.3266826E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0060894E7	8573820.0	4.024458E7	3.600116E7	3.3266826E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0060894E7	8573820.0	4.024458E7	3.600116E7	3.3266826E7	
hp|P62988ups|UBIQ_HUMAN_UPS	hp|P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	hp|P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)		96	78.10			Ubiquitin	1.0000	0.9990	7	12	1	76	0	0	0	0	0	0	1	1	1	1	1	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	5	7	5	5	4	4	3	7	4	4	7	6	4	7	4	127184.03	132566.1	103574.45	218445.73	187986.12	220343.55	517984.03	491907.94	569139.3	3326022.8	3088168.5	3423040.5	1.1620845E7	1.2159702E7	1.2109902E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1761017.2	0.0	0.0	8.7639888E7	9.4411552E7	9.990908E7	7.2139024E7	9.8660344E7	7.707376E7	8.8904136E7	1.06063736E8	8.8077096E7	9.75356E7	7.483748E7	1.09299432E8	1.1612752E8	9.3390104E7	1.14487224E8	130226.945	135737.78	106052.5	223672.11	192483.75	225615.33	530376.94	503676.97	582756.1	3405598.8	3162054.0	3504937.8	1.1898877E7	1.2451039E7	1.2399635E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.2164464E7	4.63089E7	4.6411812E7	3.6501524E7	5.2560452E7	4.2207976E7	4.806964E7	5.188552E7	4.7585868E7	6.3597192E7	6.9996016E7	7.2057568E7	8.7605152E7	8.1137136E7	7.6068968E7	
sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	59.80	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 C	1.0000	0.9990	9	44	44	44	0	0	0	2	0	2	3	3	3	3	2	3	8	6	9	0	0	0	2	0	2	3	3	3	3	2	3	8	6	9	0	0	0	2	0	2	3	3	3	3	2	3	8	6	9	772567.56	0.0	0.0	3480136.2	2755061.8	3163485.8	1.1086222E7	9626666.0	9660893.0	4.318118E7	3.6168852E7	3.9909728E7	1.62679008E8	1.2876688E8	1.25002E8	772567.56	0.0	0.0	3480136.2	2755061.8	3163485.8	1.1086222E7	9626666.0	9660893.0	4.318118E7	3.6168852E7	3.9909728E7	1.62679008E8	1.2876688E8	1.25002E8	772567.56	0.0	0.0	3480136.2	2755061.8	3163485.8	1.1086222E7	9626666.0	9660893.0	4.318118E7	3.6168852E7	3.9909728E7	1.62679008E8	1.2876688E8	1.25002E8	689848.06	455681.03	685561.1	1924698.2	1711326.8	1798117.9	6284870.5	5334291.5	5812006.0	2.402068E7	2.0889532E7	2.060094E7	7.5650904E7	6.5693116E7	6.7548216E7	689848.06	455681.03	685561.1	1924698.2	1711326.8	1798117.9	6284870.5	5334291.5	5812006.0	2.402068E7	2.0889532E7	2.060094E7	7.5650904E7	6.5693116E7	6.7548216E7	689848.06	455681.03	685561.1	1924698.2	1711326.8	1798117.9	6284870.5	5334291.5	5812006.0	2.402068E7	2.0889532E7	2.060094E7	7.5650904E7	6.5693116E7	6.7548216E7	
sp|O13547|CCW14_YEAST	O13547	CCW14_YEAST	CCW14	238	17.60	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Covalently-linked cell wall protein 14 -	1.0000	0.9990	2	15	15	15	0	1	1	0	1	0	1	1	1	2	1	2	2	1	1	0	1	1	0	1	0	1	1	1	2	1	2	2	1	1	0	1	1	0	1	0	1	1	1	2	1	2	2	1	1	7549426.5	5337643.0	5006021.0	4973926.5	4544655.5	4639122.5	4290143.5	4013760.5	4156122.5	6107840.0	5449674.0	5758294.5	6696830.0	6771685.0	6284039.0	7549426.5	5337643.0	5006021.0	4973926.5	4544655.5	4639122.5	4290143.5	4013760.5	4156122.5	6107840.0	5449674.0	5758294.5	6696830.0	6771685.0	6284039.0	7549426.5	5337643.0	5006021.0	4973926.5	4544655.5	4639122.5	4290143.5	4013760.5	4156122.5	6107840.0	5449674.0	5758294.5	6696830.0	6771685.0	6284039.0	7264706.0	4546067.0	4312671.5	4583574.5	3201745.0	3493641.2	3241849.0	2131571.5	2355835.0	8038854.0	6379755.0	6428340.5	9536086.0	8485228.0	8020080.0	7264706.0	4546067.0	4312671.5	4583574.5	3201745.0	3493641.2	3241849.0	2131571.5	2355835.0	8038854.0	6379755.0	6428340.5	9536086.0	8485228.0	8020080.0	7264706.0	4546067.0	4312671.5	4583574.5	3201745.0	3493641.2	3241849.0	2131571.5	2355835.0	8038854.0	6379755.0	6428340.5	9536086.0	8485228.0	8020080.0	
sp|O13563|RPN13_YEAST	O13563	RPN13_YEAST	RPN13	156	21.80	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN13 -	1.0000	0.9990	2	21	21	21	1	2	2	1	1	2	1	1	2	2	1	2	1	1	1	1	2	2	1	1	2	1	1	2	2	1	2	1	1	1	1	2	2	1	1	2	1	1	2	2	1	2	1	1	1	2027177.9	2043544.4	2048978.0	2024264.8	2244340.5	2190818.5	1354191.8	2253413.2	2215980.5	2235735.2	2334076.0	2321855.8	2031610.5	1937368.0	2022300.0	2027177.9	2043544.4	2048978.0	2024264.8	2244340.5	2190818.5	1354191.8	2253413.2	2215980.5	2235735.2	2334076.0	2321855.8	2031610.5	1937368.0	2022300.0	2027177.9	2043544.4	2048978.0	2024264.8	2244340.5	2190818.5	1354191.8	2253413.2	2215980.5	2235735.2	2334076.0	2321855.8	2031610.5	1937368.0	2022300.0	1382869.2	1407126.0	1373496.6	1456375.0	1572641.0	1487434.9	1354191.8	1534558.2	1496438.9	1588580.8	1569665.4	1585882.2	1434270.2	1299582.6	1334563.9	1382869.2	1407126.0	1373496.6	1456375.0	1572641.0	1487434.9	1354191.8	1534558.2	1496438.9	1588580.8	1569665.4	1585882.2	1434270.2	1299582.6	1334563.9	1382869.2	1407126.0	1373496.6	1456375.0	1572641.0	1487434.9	1354191.8	1534558.2	1496438.9	1588580.8	1569665.4	1585882.2	1434270.2	1299582.6	1334563.9	
sp|O14455|RL36B_YEAST	O14455	RL36B_YEAST	RPL36B	100	57.00	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L36-B -	1.0000	0.9990	8	86	24	86	6	7	6	5	6	6	6	3	7	8	6	8	5	4	3	2	1	2	2	1	2	3	0	2	3	1	1	2	2	0	6	7	6	5	6	6	6	3	7	8	6	8	5	4	3	1.3566224E8	1.40293008E8	1.42498432E8	1.29075696E8	1.46498464E8	1.35477472E8	1.33600448E8	1.34746064E8	1.3754816E8	1.338456E8	1.4291032E8	1.38611536E8	1.38506528E8	1.36752496E8	1.35925312E8	3.389266E7	3.0731862E7	3.0435324E7	3.9381908E7	2.8276424E7	3.0615566E7	3.4546728E7	2.9786006E7	2.9926112E7	3.8776628E7	2.984744E7	3.1372708E7	3.505838E7	2.5226012E7	2.4325492E7	1.3566224E8	1.40293008E8	1.42498432E8	1.29075696E8	1.46498464E8	1.35477472E8	1.33600448E8	1.34746064E8	1.3754816E8	1.338456E8	1.4291032E8	1.38611536E8	1.38506528E8	1.36752496E8	1.35925312E8	5.9144992E7	5.6969544E7	5.6676848E7	5.4507196E7	5.8540596E7	5.4477444E7	5.5562668E7	5.5108928E7	5.6352948E7	5.6665672E7	5.9235504E7	5.7857152E7	5.7285932E7	5.3933624E7	5.2465308E7	2.945201E7	2.741052E7	2.4633814E7	3.3736964E7	2.583231E7	2.7417784E7	3.0549224E7	2.6850436E7	2.7806042E7	3.3522026E7	2.6942842E7	2.6695278E7	3.0968256E7	2.2571486E7	2.0042132E7	5.9144992E7	5.6969544E7	5.6676848E7	5.4507196E7	5.8540596E7	5.4477444E7	5.5562668E7	5.5108928E7	5.6352948E7	5.6665672E7	5.9235504E7	5.7857152E7	5.7285932E7	5.3933624E7	5.2465308E7	
