Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_1 Spectral Count	A_2 Spectral Count	A_3 Spectral Count	B_1 Spectral Count	B_2 Spectral Count	B_3 Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	D_1 Spectral Count	D_2 Spectral Count	D_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	A_1 Unique Spectral Count	A_2 Unique Spectral Count	A_3 Unique Spectral Count	B_1 Unique Spectral Count	B_2 Unique Spectral Count	B_3 Unique Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	D_1 Unique Spectral Count	D_2 Unique Spectral Count	D_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	A_1 Total Spectral Count	A_2 Total Spectral Count	A_3 Total Spectral Count	B_1 Total Spectral Count	B_2 Total Spectral Count	B_3 Total Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	D_1 Total Spectral Count	D_2 Total Spectral Count	D_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	A_1 Intensity	A_2 Intensity	A_3 Intensity	B_1 Intensity	B_2 Intensity	B_3 Intensity	C_1 Intensity	C_2 Intensity	C_3 Intensity	D_1 Intensity	D_2 Intensity	D_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	A_1 Unique Intensity	A_2 Unique Intensity	A_3 Unique Intensity	B_1 Unique Intensity	B_2 Unique Intensity	B_3 Unique Intensity	C_1 Unique Intensity	C_2 Unique Intensity	C_3 Unique Intensity	D_1 Unique Intensity	D_2 Unique Intensity	D_3 Unique Intensity	E_1 Unique Intensity	E_2 Unique Intensity	E_3 Unique Intensity	A_1 Total Intensity	A_2 Total Intensity	A_3 Total Intensity	B_1 Total Intensity	B_2 Total Intensity	B_3 Total Intensity	C_1 Total Intensity	C_2 Total Intensity	C_3 Total Intensity	D_1 Total Intensity	D_2 Total Intensity	D_3 Total Intensity	E_1 Total Intensity	E_2 Total Intensity	E_3 Total Intensity	A_1 MaxLFQ Intensity	A_2 MaxLFQ Intensity	A_3 MaxLFQ Intensity	B_1 MaxLFQ Intensity	B_2 MaxLFQ Intensity	B_3 MaxLFQ Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	D_1 MaxLFQ Intensity	D_2 MaxLFQ Intensity	D_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	A_1 MaxLFQ Unique Intensity	A_2 MaxLFQ Unique Intensity	A_3 MaxLFQ Unique Intensity	B_1 MaxLFQ Unique Intensity	B_2 MaxLFQ Unique Intensity	B_3 MaxLFQ Unique Intensity	C_1 MaxLFQ Unique Intensity	C_2 MaxLFQ Unique Intensity	C_3 MaxLFQ Unique Intensity	D_1 MaxLFQ Unique Intensity	D_2 MaxLFQ Unique Intensity	D_3 MaxLFQ Unique Intensity	E_1 MaxLFQ Unique Intensity	E_2 MaxLFQ Unique Intensity	E_3 MaxLFQ Unique Intensity	A_1 MaxLFQ Total Intensity	A_2 MaxLFQ Total Intensity	A_3 MaxLFQ Total Intensity	B_1 MaxLFQ Total Intensity	B_2 MaxLFQ Total Intensity	B_3 MaxLFQ Total Intensity	C_1 MaxLFQ Total Intensity	C_2 MaxLFQ Total Intensity	C_3 MaxLFQ Total Intensity	D_1 MaxLFQ Total Intensity	D_2 MaxLFQ Total Intensity	D_3 MaxLFQ Total Intensity	E_1 MaxLFQ Total Intensity	E_2 MaxLFQ Total Intensity	E_3 MaxLFQ Total Intensity	Indistinguishable Proteins
contam_sp|P00330|ADH1_YEAST	contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5	contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5		348	44.30			Alcohol	1.0000	0.9990	16	236	149	236	14	13	17	15	15	15	16	18	16	16	17	15	19	14	16	9	9	11	9	9	10	11	12	10	11	11	9	11	7	10	14	13	17	15	15	15	16	18	16	16	17	15	19	14	16	1.01314573E9	8.4522624E8	1.13089408E9	1.07945869E9	1.11928358E9	8.5762099E8	9.710729E8	9.6510413E8	4.858016E8	1.15188365E9	1.16006835E9	7.4457728E8	1.09647117E9	8.6668851E8	1.18807437E9	7.8246573E8	5.5440678E8	6.2906778E8	8.5504198E8	6.5145632E8	2.547364E8	6.36928E8	6.1440448E8	6.1002925E8	9.3755642E8	9.1116346E8	4.2798784E8	9.7806438E8	7.5909338E8	1.12351168E9	1.01314573E9	8.4522624E8	1.13089408E9	1.07945869E9	1.11928358E9	8.5762099E8	9.710729E8	9.6510413E8	4.858016E8	1.15188365E9	1.16006835E9	7.4457728E8	1.09647117E9	8.6668851E8	1.18807437E9	4.5590112E8	4.1364144E8	4.26321248E8	4.54686752E8	4.5127872E8	4.01978848E8	4.08757248E8	4.01802144E8	3.79440832E8	4.769808E8	4.52245984E8	4.0970784E8	4.72242944E8	4.45702816E8	4.14588864E8	3.9142896E8	3.65123264E8	3.557704E8	3.78774816E8	3.73972704E8	3.1660544E8	3.49074048E8	3.30256032E8	3.36930048E8	4.0235776E8	3.66626208E8	3.2987152E8	3.89594048E8	3.66136384E8	3.46043008E8	4.5590112E8	4.1364144E8	4.26321248E8	4.54686752E8	4.5127872E8	4.01978848E8	4.08757248E8	4.01802144E8	3.79440832E8	4.769808E8	4.52245984E8	4.0970784E8	4.72242944E8	4.45702816E8	4.14588864E8	
contam_sp|P00761|TRYP_PIG	contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1	contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1		231	25.10			Trypsin	1.0000	0.9990	4	48	48	48	3	2	3	3	3	3	3	3	2	3	4	4	3	5	4	3	2	3	3	3	3	3	3	2	3	4	4	3	5	4	3	2	3	3	3	3	3	3	2	3	4	4	3	5	4	1.10152474E9	1.93146816E8	1.07711501E9	1.06677043E9	1.10988941E9	1.31528824E8	1.10000806E9	1.1068073E9	1.04056781E9	1.17337741E9	1.09585984E9	1.09270886E9	1.18918438E9	1.1771712E9	1.14328077E9	1.10152474E9	1.93146816E8	1.07711501E9	1.06677043E9	1.10988941E9	1.31528824E8	1.10000806E9	1.1068073E9	1.04056781E9	1.17337741E9	1.09585984E9	1.09270886E9	1.18918438E9	1.1771712E9	1.14328077E9	1.10152474E9	1.93146816E8	1.07711501E9	1.06677043E9	1.10988941E9	1.31528824E8	1.10000806E9	1.1068073E9	1.04056781E9	1.17337741E9	1.09585984E9	1.09270886E9	1.18918438E9	1.1771712E9	1.14328077E9	9.4711917E8	2.50474784E8	9.3576294E8	9.2728282E8	9.465095E8	1.17392968E8	9.7621862E8	9.8486925E8	8.3712058E8	9.8919386E8	9.3040294E8	9.3464819E8	9.7030547E8	1.00671571E9	8.9110048E8	9.4711917E8	2.50474784E8	9.3576294E8	9.2728282E8	9.465095E8	1.17392968E8	9.7621862E8	9.8486925E8	8.3712058E8	9.8919386E8	9.3040294E8	9.3464819E8	9.7030547E8	1.00671571E9	8.9110048E8	9.4711917E8	2.50474784E8	9.3576294E8	9.2728282E8	9.465095E8	1.17392968E8	9.7621862E8	9.8486925E8	8.3712058E8	9.8919386E8	9.3040294E8	9.3464819E8	9.7030547E8	1.00671571E9	8.9110048E8	
contam_sp|P32503|GAG_SCVLA	contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A GN=gag PE=1 SV=1	contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A GN=gag PE=1 SV=1		680	29.10			Major	1.0000	0.9990	12	78	78	78	3	7	6	6	5	4	5	6	5	3	2	5	7	8	6	3	7	6	6	5	4	5	6	5	3	2	5	7	8	6	3	7	6	6	5	4	5	6	5	3	2	5	7	8	6	5.543326E7	6.1264148E7	5.405324E7	5.6094312E7	5.3163996E7	4.6971444E7	5.3963244E7	4.8834384E7	2.0545616E7	5.5031496E7	4.9619504E7	4.5271504E7	5.0322208E7	5.0051804E7	5.1802504E7	5.543326E7	6.1264148E7	5.405324E7	5.6094312E7	5.3163996E7	4.6971444E7	5.3963244E7	4.8834384E7	2.0545616E7	5.5031496E7	4.9619504E7	4.5271504E7	5.0322208E7	5.0051804E7	5.1802504E7	5.543326E7	6.1264148E7	5.405324E7	5.6094312E7	5.3163996E7	4.6971444E7	5.3963244E7	4.8834384E7	2.0545616E7	5.5031496E7	4.9619504E7	4.5271504E7	5.0322208E7	5.0051804E7	5.1802504E7	2.2237532E7	2.354459E7	2.1410512E7	2.3804362E7	2.2485162E7	2.1798648E7	2.0271578E7	1.944613E7	1.4283618E7	2.31445E7	2.0751464E7	1.7523312E7	2.1039672E7	2.1085594E7	2.4416294E7	2.2237532E7	2.354459E7	2.1410512E7	2.3804362E7	2.2485162E7	2.1798648E7	2.0271578E7	1.944613E7	1.4283618E7	2.31445E7	2.0751464E7	1.7523312E7	2.1039672E7	2.1085594E7	2.4416294E7	2.2237532E7	2.354459E7	2.1410512E7	2.3804362E7	2.2485162E7	2.1798648E7	2.0271578E7	1.944613E7	1.4283618E7	2.31445E7	2.0751464E7	1.7523312E7	2.1039672E7	2.1085594E7	2.4416294E7	
contam_sp|P68082|MYG_HORSE	contam_sp|P68082|MYG_HORSE Myoglobin OS=Equus caballus GN=MB PE=1 SV=2	contam_sp|P68082|MYG_HORSE Myoglobin OS=Equus caballus GN=MB PE=1 SV=2		154	23.40			Myoglobin	1.0000	0.9987	3	12	12	13	0	0	0	0	0	0	0	0	0	1	2	2	3	1	3	0	0	0	0	0	0	0	0	0	1	2	2	3	1	3	0	0	0	0	0	0	0	0	0	1	2	2	4	1	3	0.0	0.0	0.0	0.0	0.0	0.0	5079501.5	5146479.5	5405582.0	2.8808512E7	2.6670648E7	2.6058828E7	1.34103328E8	1.38986096E8	1.03355712E8	0.0	0.0	0.0	0.0	0.0	0.0	5079501.5	5146479.5	5405582.0	2.8808512E7	2.6670648E7	2.6058828E7	1.34103328E8	1.38986096E8	1.03355712E8	0.0	0.0	0.0	0.0	0.0	0.0	5079501.5	5146479.5	5405582.0	2.8808512E7	2.6670648E7	2.6058828E7	1.34103328E8	1.38986096E8	1.03355712E8	0.0	0.0	0.0	0.0	0.0	0.0	3148309.8	3190934.0	3031140.5	1.5920628E7	1.527898E7	1.4697788E7	7.9932152E7	8.1975416E7	5.8927544E7	0.0	0.0	0.0	0.0	0.0	0.0	3148309.8	3190934.0	3031140.5	1.5920628E7	1.527898E7	1.4697788E7	7.9932152E7	8.1975416E7	5.8927544E7	0.0	0.0	0.0	0.0	0.0	0.0	3148309.8	3190934.0	3031140.5	1.5920628E7	1.527898E7	1.4697788E7	7.9932152E7	8.1975416E7	5.8927544E7	
hp|P62988ups|UBIQ_HUMAN_UPS	hp|P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	hp|P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)		96	68.80			Ubiquitin	1.0000	0.9990	7	11	0	68	0	0	0	0	0	0	0	0	0	1	1	1	5	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	4	5	3	4	6	3	4	3	2	5	5	9	5	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390006.9	0.0	4128409.5	4638839.5	4312624.0	2.4785584E7	2.9270064E7	2.8404092E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8304344E8	1.26718712E8	1.85469328E8	1.916016E8	1.79207488E8	2.15326288E8	1.85075648E8	1.83870208E8	1.45525536E8	2.1514464E8	1.99813024E8	1.45827808E8	2.50543728E8	2.03246352E8	2.5929808E8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	390006.9	0.0	3173864.2	3547340.0	3280343.5	1.8380502E7	2.1343834E7	2.1357766E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.3775152E7	9.1935184E7	1.08224432E8	1.21603376E8	1.05475832E8	1.53548656E8	1.0777952E8	1.22394632E8	8.1928504E7	1.14779128E8	1.26153888E8	7.3155576E7	2.14144832E8	1.60031824E8	1.88891584E8	
sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	68.70	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 C	1.0000	0.9990	13	68	68	68	1	0	0	1	2	1	4	3	4	5	6	5	12	13	11	1	0	0	1	2	1	4	3	4	5	6	5	12	13	11	1	0	0	1	2	1	4	3	4	5	6	5	12	13	11	963214.94	1125698.4	1124203.8	3334876.2	3307840.8	3700688.5	1.4737418E7	1.4968447E7	1.4890327E7	5.2594776E7	5.557782E7	4.5875352E7	2.23186272E8	2.1850312E8	2.2558168E8	963214.94	1125698.4	1124203.8	3334876.2	3307840.8	3700688.5	1.4737418E7	1.4968447E7	1.4890327E7	5.2594776E7	5.557782E7	4.5875352E7	2.23186272E8	2.1850312E8	2.2558168E8	963214.94	1125698.4	1124203.8	3334876.2	3307840.8	3700688.5	1.4737418E7	1.4968447E7	1.4890327E7	5.2594776E7	5.557782E7	4.5875352E7	2.23186272E8	2.1850312E8	2.2558168E8	971394.75	1135258.0	1133750.8	2799881.2	2457760.5	2729232.0	1.1450645E7	1.0937674E7	1.134537E7	3.60183E7	3.7110388E7	3.6719556E7	1.17831408E8	1.1799744E8	9.7880496E7	971394.75	1135258.0	1133750.8	2799881.2	2457760.5	2729232.0	1.1450645E7	1.0937674E7	1.134537E7	3.60183E7	3.7110388E7	3.6719556E7	1.17831408E8	1.1799744E8	9.7880496E7	971394.75	1135258.0	1133750.8	2799881.2	2457760.5	2729232.0	1.1450645E7	1.0937674E7	1.134537E7	3.60183E7	3.7110388E7	3.6719556E7	1.17831408E8	1.1799744E8	9.7880496E7	
sp|O13547|CCW14_YEAST	O13547	CCW14_YEAST	CCW14	238	35.30	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Covalently-linked cell wall protein 14 -	1.0000	0.9990	3	17	17	17	1	0	2	1	1	1	1	1	1	1	2	0	2	1	2	1	0	2	1	1	1	1	1	1	1	2	0	2	1	2	1	0	2	1	1	1	1	1	1	1	2	0	2	1	2	5239691.5	5268711.5	4874121.5	8037647.0	8357463.0	2988204.2	5954108.0	6300649.0	6961206.5	8053570.0	6083202.5	3570661.8	8121894.5	9968831.0	1.0363304E7	5239691.5	5268711.5	4874121.5	8037647.0	8357463.0	2988204.2	5954108.0	6300649.0	6961206.5	8053570.0	6083202.5	3570661.8	8121894.5	9968831.0	1.0363304E7	5239691.5	5268711.5	4874121.5	8037647.0	8357463.0	2988204.2	5954108.0	6300649.0	6961206.5	8053570.0	6083202.5	3570661.8	8121894.5	9968831.0	1.0363304E7	4793385.5	4819933.5	4148890.0	5015405.0	5040575.0	6477306.5	3777115.2	4022889.2	4492677.5	5389696.0	5923439.5	7739855.5	5359498.0	6430133.5	6879235.5	4793385.5	4819933.5	4148890.0	5015405.0	5040575.0	6477306.5	3777115.2	4022889.2	4492677.5	5389696.0	5923439.5	7739855.5	5359498.0	6430133.5	6879235.5	4793385.5	4819933.5	4148890.0	5015405.0	5040575.0	6477306.5	3777115.2	4022889.2	4492677.5	5389696.0	5923439.5	7739855.5	5359498.0	6430133.5	6879235.5	
sp|O13563|RPN13_YEAST	O13563	RPN13_YEAST	RPN13	156	19.90	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN13 -	1.0000	0.9990	3	14	14	14	3	2	1	1	2	1	1	1	1	0	0	0	0	1	0	3	2	1	1	2	1	1	1	1	0	0	0	0	1	0	3	2	1	1	2	1	1	1	1	0	0	0	0	1	0	2467416.0	1660459.5	2338296.2	2487436.8	3037578.5	2828112.5	2520854.5	2688021.5	789800.94	2200722.0	1722445.4	1410704.0	2296746.8	1613143.8	2452890.2	2467416.0	1660459.5	2338296.2	2487436.8	3037578.5	2828112.5	2520854.5	2688021.5	789800.94	2200722.0	1722445.4	1410704.0	2296746.8	1613143.8	2452890.2	2467416.0	1660459.5	2338296.2	2487436.8	3037578.5	2828112.5	2520854.5	2688021.5	789800.94	2200722.0	1722445.4	1410704.0	2296746.8	1613143.8	2452890.2	1713240.0	1571365.9	1392373.5	1661655.9	1861631.6	1904950.8	1832697.9	1937745.1	1974027.5	1420815.2	1627581.5	1033432.2	1341384.9	1200572.9	1700593.2	1713240.0	1571365.9	1392373.5	1661655.9	1861631.6	1904950.8	1832697.9	1937745.1	1974027.5	1420815.2	1627581.5	1033432.2	1341384.9	1200572.9	1700593.2	1713240.0	1571365.9	1392373.5	1661655.9	1861631.6	1904950.8	1832697.9	1937745.1	1974027.5	1420815.2	1627581.5	1033432.2	1341384.9	1200572.9	1700593.2	
sp|O14455|RL36B_YEAST	O14455	RL36B_YEAST	RPL36B	100	57.00	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	60S ribosomal protein L36-B -	1.0000	0.9990	8	104	31	104	8	7	6	9	7	5	8	7	4	6	7	9	7	7	7	2	1	3	3	3	1	3	2	2	1	1	3	2	2	2	8	7	6	9	7	5	8	7	4	6	7	9	7	7	7	2.82990624E8	2.98693888E8	2.7895376E8	2.85650816E8	2.96606304E8	2.45278816E8	2.3766008E8	2.34715216E8	1.16134168E8	2.85145568E8	2.64903936E8	2.1478216E8	2.76093792E8	2.87434944E8	2.77400896E8	5.5048184E7	2.7668154E7	6.290784E7	5.3381612E7	5.6060172E7	5.7887632E7	5.798548E7	6.0968072E7	6.0106224E7	6.6972096E7	5.7842056E7	5.301364E7	4.1451588E7	4.6903848E7	3.6529272E7	2.82990624E8	2.98693888E8	2.7895376E8	2.85650816E8	2.96606304E8	2.45278816E8	2.3766008E8	2.34715216E8	1.16134168E8	2.85145568E8	2.64903936E8	2.1478216E8	2.76093792E8	2.87434944E8	2.77400896E8	1.11772768E8	1.18306416E8	1.12281368E8	1.11973936E8	1.10630456E8	1.16479112E8	1.05094016E8	1.0150788E8	1.1309656E8	1.0924312E8	1.07943952E8	1.04510672E8	1.08270352E8	1.06992536E8	9.992488E7	3.8978408E7	4.3619528E7	4.493106E7	3.6781968E7	4.1017072E7	4.1007384E7	4.0642332E7	4.4375484E7	4.4243884E7	3.5130748E7	4.090646E7	3.8071656E7	2.9427592E7	3.2502912E7	2.4026018E7	1.11772768E8	1.18306416E8	1.12281368E8	1.11973936E8	1.10630456E8	1.16479112E8	1.05094016E8	1.0150788E8	1.1309656E8	1.0924312E8	1.07943952E8	1.04510672E8	1.08270352E8	1.06992536E8	9.992488E7	
sp|O14467|MBF1_YEAST	O14467	MBF1_YEAST	MBF1	151	58.30	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Multiprotein-bridging factor 1 -	1.0000	0.9990	7	62	62	62	4	4	4	5	5	3	3	5	4	4	5	5	5	3	3	4	4	4	5	5	3	3	5	4	4	5	5	5	3	3	4	4	4	5	5	3	3	5	4	4	5	5	5	3	3	4.8878924E7	3.1001054E7	4.8567348E7	4.8718116E7	5.0415948E7	4.8971304E7	4.6243004E7	4.6457556E7	4.023472E7	4.6287588E7	4.8673848E7	4.8091376E7	4.3425156E7	4.7936792E7	4.6132744E7	4.8878924E7	3.1001054E7	4.8567348E7	4.8718116E7	5.0415948E7	4.8971304E7	4.6243004E7	4.6457556E7	4.023472E7	4.6287588E7	4.8673848E7	4.8091376E7	4.3425156E7	4.7936792E7	4.6132744E7	4.8878924E7	3.1001054E7	4.8567348E7	4.8718116E7	5.0415948E7	4.8971304E7	4.6243004E7	4.6457556E7	4.023472E7	4.6287588E7	4.8673848E7	4.8091376E7	4.3425156E7	4.7936792E7	4.6132744E7	2.4173774E7	2.1718214E7	2.3345374E7	2.5099254E7	2.3263384E7	2.2231628E7	2.4634394E7	2.370804E7	2.473584E7	2.1604446E7	2.3572848E7	2.3451026E7	2.0722942E7	1.9162412E7	1.8688432E7	2.4173774E7	2.1718214E7	2.3345374E7	2.5099254E7	2.3263384E7	2.2231628E7	2.4634394E7	2.370804E7	2.473584E7	2.1604446E7	2.3572848E7	2.3451026E7	2.0722942E7	1.9162412E7	1.8688432E7	2.4173774E7	2.1718214E7	2.3345374E7	2.5099254E7	2.3263384E7	2.2231628E7	2.4634394E7	2.370804E7	2.473584E7	2.1604446E7	2.3572848E7	2.3451026E7	2.0722942E7	1.9162412E7	1.8688432E7	
