Protein	Protein ID	Entry Name	Gene	Protein Length	Coverage	Organism	Protein Existence	Description	Protein Probability	Top Peptide Probability	Combined Total Peptides	Combined Spectral Count	Combined Unique Spectral Count	Combined Total Spectral Count	A_1 Spectral Count	A_2 Spectral Count	A_3 Spectral Count	B_1 Spectral Count	B_2 Spectral Count	B_3 Spectral Count	C_1 Spectral Count	C_2 Spectral Count	C_3 Spectral Count	D_1 Spectral Count	D_2 Spectral Count	D_3 Spectral Count	E_1 Spectral Count	E_2 Spectral Count	E_3 Spectral Count	A_1 Unique Spectral Count	A_2 Unique Spectral Count	A_3 Unique Spectral Count	B_1 Unique Spectral Count	B_2 Unique Spectral Count	B_3 Unique Spectral Count	C_1 Unique Spectral Count	C_2 Unique Spectral Count	C_3 Unique Spectral Count	D_1 Unique Spectral Count	D_2 Unique Spectral Count	D_3 Unique Spectral Count	E_1 Unique Spectral Count	E_2 Unique Spectral Count	E_3 Unique Spectral Count	A_1 Total Spectral Count	A_2 Total Spectral Count	A_3 Total Spectral Count	B_1 Total Spectral Count	B_2 Total Spectral Count	B_3 Total Spectral Count	C_1 Total Spectral Count	C_2 Total Spectral Count	C_3 Total Spectral Count	D_1 Total Spectral Count	D_2 Total Spectral Count	D_3 Total Spectral Count	E_1 Total Spectral Count	E_2 Total Spectral Count	E_3 Total Spectral Count	A_1 Intensity	A_2 Intensity	A_3 Intensity	B_1 Intensity	B_2 Intensity	B_3 Intensity	C_1 Intensity	C_2 Intensity	C_3 Intensity	D_1 Intensity	D_2 Intensity	D_3 Intensity	E_1 Intensity	E_2 Intensity	E_3 Intensity	A_1 Unique Intensity	A_2 Unique Intensity	A_3 Unique Intensity	B_1 Unique Intensity	B_2 Unique Intensity	B_3 Unique Intensity	C_1 Unique Intensity	C_2 Unique Intensity	C_3 Unique Intensity	D_1 Unique Intensity	D_2 Unique Intensity	D_3 Unique Intensity	E_1 Unique Intensity	E_2 Unique Intensity	E_3 Unique Intensity	A_1 Total Intensity	A_2 Total Intensity	A_3 Total Intensity	B_1 Total Intensity	B_2 Total Intensity	B_3 Total Intensity	C_1 Total Intensity	C_2 Total Intensity	C_3 Total Intensity	D_1 Total Intensity	D_2 Total Intensity	D_3 Total Intensity	E_1 Total Intensity	E_2 Total Intensity	E_3 Total Intensity	A_1 MaxLFQ Intensity	A_2 MaxLFQ Intensity	A_3 MaxLFQ Intensity	B_1 MaxLFQ Intensity	B_2 MaxLFQ Intensity	B_3 MaxLFQ Intensity	C_1 MaxLFQ Intensity	C_2 MaxLFQ Intensity	C_3 MaxLFQ Intensity	D_1 MaxLFQ Intensity	D_2 MaxLFQ Intensity	D_3 MaxLFQ Intensity	E_1 MaxLFQ Intensity	E_2 MaxLFQ Intensity	E_3 MaxLFQ Intensity	A_1 MaxLFQ Unique Intensity	A_2 MaxLFQ Unique Intensity	A_3 MaxLFQ Unique Intensity	B_1 MaxLFQ Unique Intensity	B_2 MaxLFQ Unique Intensity	B_3 MaxLFQ Unique Intensity	C_1 MaxLFQ Unique Intensity	C_2 MaxLFQ Unique Intensity	C_3 MaxLFQ Unique Intensity	D_1 MaxLFQ Unique Intensity	D_2 MaxLFQ Unique Intensity	D_3 MaxLFQ Unique Intensity	E_1 MaxLFQ Unique Intensity	E_2 MaxLFQ Unique Intensity	E_3 MaxLFQ Unique Intensity	A_1 MaxLFQ Total Intensity	A_2 MaxLFQ Total Intensity	A_3 MaxLFQ Total Intensity	B_1 MaxLFQ Total Intensity	B_2 MaxLFQ Total Intensity	B_3 MaxLFQ Total Intensity	C_1 MaxLFQ Total Intensity	C_2 MaxLFQ Total Intensity	C_3 MaxLFQ Total Intensity	D_1 MaxLFQ Total Intensity	D_2 MaxLFQ Total Intensity	D_3 MaxLFQ Total Intensity	E_1 MaxLFQ Total Intensity	E_2 MaxLFQ Total Intensity	E_3 MaxLFQ Total Intensity	Indistinguishable Proteins
contam_sp|P00330|ADH1_YEAST	contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5	contam_sp|P00330|ADH1_YEAST Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ADH1 PE=1 SV=5		348	45.70			Alcohol	1.0000	0.9990	16	235	147	235	16	15	16	13	13	13	15	14	16	18	20	15	17	17	17	11	9	10	9	8	8	9	8	10	12	13	8	11	12	9	16	15	16	13	13	13	15	14	16	18	20	15	17	17	17	3.23475552E8	4.09047968E8	4.0323328E8	2.98396832E8	3.71036992E8	4.10932864E8	3.0931552E8	4.50313632E8	4.28421568E8	3.84562048E8	4.43147648E8	4.33241216E8	4.02300992E8	4.98411392E8	4.46448448E8	2.9453968E8	4.35901056E8	3.79677056E8	2.62082928E8	3.94731104E8	3.7533312E8	2.75228832E8	4.71691072E8	3.98345472E8	3.27870112E8	4.46240224E8	3.78881024E8	3.38752896E8	5.05907168E8	3.89040448E8	3.23475552E8	4.09047968E8	4.0323328E8	2.98396832E8	3.71036992E8	4.10932864E8	3.0931552E8	4.50313632E8	4.28421568E8	3.84562048E8	4.43147648E8	4.33241216E8	4.02300992E8	4.98411392E8	4.46448448E8	2.25512592E8	2.31902144E8	2.18606256E8	2.1352432E8	2.22196048E8	2.28430992E8	2.07912288E8	2.30882176E8	2.33601008E8	2.3723112E8	2.32722352E8	2.40977968E8	2.51545424E8	2.01900656E8	2.40796032E8	2.2471432E8	2.4383304E8	2.24562928E8	2.11856032E8	2.43455808E8	2.32509136E8	2.05329216E8	2.4903552E8	2.37100672E8	2.29416176E8	2.38178224E8	2.27767616E8	2.31781248E8	1.99968976E8	2.19051632E8	2.25512592E8	2.31902144E8	2.18606256E8	2.1352432E8	2.22196048E8	2.28430992E8	2.07912288E8	2.30882176E8	2.33601008E8	2.3723112E8	2.32722352E8	2.40977968E8	2.51545424E8	2.01900656E8	2.40796032E8	
contam_sp|P00761|TRYP_PIG	contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1	contam_sp|P00761|TRYP_PIG Trypsin OS=Sus scrofa PE=1 SV=1		231	25.10			Trypsin	1.0000	0.9990	4	53	53	53	4	3	3	4	2	3	4	3	3	4	4	4	4	3	5	4	3	3	4	2	3	4	3	3	4	4	4	4	3	5	4	3	3	4	2	3	4	3	3	4	4	4	4	3	5	3.08572224E8	1.92284288E8	2.59203072E8	3.3111744E8	2.27176176E8	2.76540032E8	3.21640288E8	1.9841976E8	2.77983616E8	3.44548416E8	2.37668016E8	3.2420528E8	3.81541376E8	2.09068992E8	3.4085424E8	3.08572224E8	1.92284288E8	2.59203072E8	3.3111744E8	2.27176176E8	2.76540032E8	3.21640288E8	1.9841976E8	2.77983616E8	3.44548416E8	2.37668016E8	3.2420528E8	3.81541376E8	2.09068992E8	3.4085424E8	3.08572224E8	1.92284288E8	2.59203072E8	3.3111744E8	2.27176176E8	2.76540032E8	3.21640288E8	1.9841976E8	2.77983616E8	3.44548416E8	2.37668016E8	3.2420528E8	3.81541376E8	2.09068992E8	3.4085424E8	2.42544112E8	1.55419488E8	2.3717576E8	2.10331552E8	1.8243E8	2.2221656E8	2.43776864E8	1.6688336E8	2.46764768E8	2.65792016E8	2.08686208E8	2.88428448E8	3.08343136E8	2.18176416E8	3.1545712E8	2.42544112E8	1.55419488E8	2.3717576E8	2.10331552E8	1.8243E8	2.2221656E8	2.43776864E8	1.6688336E8	2.46764768E8	2.65792016E8	2.08686208E8	2.88428448E8	3.08343136E8	2.18176416E8	3.1545712E8	2.42544112E8	1.55419488E8	2.3717576E8	2.10331552E8	1.8243E8	2.2221656E8	2.43776864E8	1.6688336E8	2.46764768E8	2.65792016E8	2.08686208E8	2.88428448E8	3.08343136E8	2.18176416E8	3.1545712E8	
contam_sp|P32503|GAG_SCVLA	contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A GN=gag PE=1 SV=1	contam_sp|P32503|GAG_SCVLA Major capsid protein OS=Saccharomyces cerevisiae virus L-A GN=gag PE=1 SV=1		680	19.90			Major	1.0000	0.9990	10	81	81	81	5	5	5	5	6	5	6	4	5	5	6	6	5	6	7	5	5	5	5	6	5	6	4	5	5	6	6	5	6	7	5	5	5	5	6	5	6	4	5	5	6	6	5	6	7	1.797768E7	1.89414E7	1.7282216E7	1.6405302E7	1.716208E7	1.5795754E7	1.6726136E7	1.738208E7	1.6143381E7	1.6483563E7	1.6169069E7	1.5760356E7	1.6874236E7	1.3591606E7	1.5189532E7	1.797768E7	1.89414E7	1.7282216E7	1.6405302E7	1.716208E7	1.5795754E7	1.6726136E7	1.738208E7	1.6143381E7	1.6483563E7	1.6169069E7	1.5760356E7	1.6874236E7	1.3591606E7	1.5189532E7	1.797768E7	1.89414E7	1.7282216E7	1.6405302E7	1.716208E7	1.5795754E7	1.6726136E7	1.738208E7	1.6143381E7	1.6483563E7	1.6169069E7	1.5760356E7	1.6874236E7	1.3591606E7	1.5189532E7	7188048.5	6175134.5	6271559.5	7092515.5	6038137.5	5908939.0	6903706.0	5852865.5	5978626.0	7184475.5	6227052.5	6810196.0	8220304.0	5579367.5	6668278.5	7188048.5	6175134.5	6271559.5	7092515.5	6038137.5	5908939.0	6903706.0	5852865.5	5978626.0	7184475.5	6227052.5	6810196.0	8220304.0	5579367.5	6668278.5	7188048.5	6175134.5	6271559.5	7092515.5	6038137.5	5908939.0	6903706.0	5852865.5	5978626.0	7184475.5	6227052.5	6810196.0	8220304.0	5579367.5	6668278.5	
contam_sp|P68082|MYG_HORSE	contam_sp|P68082|MYG_HORSE Myoglobin OS=Equus caballus GN=MB PE=1 SV=2	contam_sp|P68082|MYG_HORSE Myoglobin OS=Equus caballus GN=MB PE=1 SV=2		154	22.10			Myoglobin	1.0000	0.9986	3	17	17	20	0	0	0	0	0	0	0	0	0	2	2	1	4	4	4	0	0	0	0	0	0	0	0	0	2	2	1	4	4	4	0	0	0	0	0	0	0	0	0	2	2	1	6	4	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604560.3	138046.81	6031163.0	7767924.5	5671882.0	3.9176044E7	2.3970532E7	3.5691492E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	604560.3	138046.81	6031163.0	7767924.5	5671882.0	3.9176044E7	2.3970532E7	3.5691492E7	0.0	0.0	0.0	0.0	0.0	0.0	503670.28	604560.3	138046.81	7237596.0	4800049.0	7336407.5	2.6937802E7	1.1623442E7	2.1057884E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	585464.2	471983.0	4821161.5	3008977.2	3492063.2	1.8139838E7	1.0076224E7	1.2703903E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	585464.2	471983.0	4821161.5	3008977.2	3492063.2	1.8139838E7	1.0076224E7	1.2703903E7	0.0	0.0	0.0	0.0	0.0	0.0	1733107.1	534663.0	431028.66	4281641.5	2792597.2	3945949.8	1.4763707E7	9201913.0	1.064468E7	
hp|P62988ups|UBIQ_HUMAN_UPS	hp|P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)	hp|P62988ups|UBIQ_HUMAN_UPS Ubiquitin (Chain 1-76, N-terminal His tag) - Homo sapiens (Human)		96	78.10			Ubiquitin	1.0000	0.9990	8	11	1	75	0	0	0	0	0	0	0	0	0	0	0	0	4	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	3	6	4	2	3	6	3	4	5	3	4	10	5	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	137234.0	413831.22	599155.6	4962579.0	9068391.0	8209981.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1031915.6	0.0	536444.2	5.1779056E7	5.5656328E7	6.5295396E7	5.1792356E7	5.2168532E7	6.4238552E7	5.82019E7	4.6351968E7	6.9409408E7	7.7015072E7	5.8187388E7	7.7647776E7	8.413504E7	5.6932472E7	8.5510032E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	224840.22	678009.1	663763.44	5970296.5	1.0130738E7	8512184.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1031915.6	0.0	536444.2	4.0876516E7	4.36071E7	4.6096604E7	4.4071324E7	4.0418588E7	4.0618444E7	4.3619804E7	4.1923276E7	4.94337E7	5.8720468E7	4.2122284E7	5.0781972E7	6.9155632E7	5.0365152E7	6.4406888E7	
sp|O00762|UBE2C_HUMAN	O00762	UBE2C_HUMAN	UBE2C	179	60.30	Homo sapiens	1:Experimental evidence at protein level	Ubiquitin-conjugating enzyme E2 C	1.0000	0.9990	11	65	65	65	1	0	0	3	1	0	4	3	5	5	7	6	10	8	12	1	0	0	3	1	0	4	3	5	5	7	6	10	8	12	1	0	0	3	1	0	4	3	5	5	7	6	10	8	12	113631.07	527758.06	896355.5	1474485.9	1914930.5	2310872.5	6243542.5	6670973.5	8098934.0	2.1731924E7	2.141716E7	2.6286854E7	7.1079616E7	6.2610268E7	7.8801664E7	113631.07	527758.06	896355.5	1474485.9	1914930.5	2310872.5	6243542.5	6670973.5	8098934.0	2.1731924E7	2.141716E7	2.6286854E7	7.1079616E7	6.2610268E7	7.8801664E7	113631.07	527758.06	896355.5	1474485.9	1914930.5	2310872.5	6243542.5	6670973.5	8098934.0	2.1731924E7	2.141716E7	2.6286854E7	7.1079616E7	6.2610268E7	7.8801664E7	499950.56	362806.56	527546.3	992573.06	1100906.8	1300628.4	3785980.8	4223091.5	3788653.5	1.2005697E7	9283893.0	1.4432523E7	3.987758E7	3.5989268E7	3.8778564E7	499950.56	362806.56	527546.3	992573.06	1100906.8	1300628.4	3785980.8	4223091.5	3788653.5	1.2005697E7	9283893.0	1.4432523E7	3.987758E7	3.5989268E7	3.8778564E7	499950.56	362806.56	527546.3	992573.06	1100906.8	1300628.4	3785980.8	4223091.5	3788653.5	1.2005697E7	9283893.0	1.4432523E7	3.987758E7	3.5989268E7	3.8778564E7	
sp|O13516|RS9A_YEAST	O13516	RS9A_YEAST	RPS9A	197	59.90	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	40S ribosomal protein S9-A -	1.0000	0.9990	16	187	14	187	14	9	14	13	10	12	18	10	12	14	10	12	15	9	15	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	14	9	14	13	10	12	18	10	12	14	10	12	15	9	15	1.18408448E8	1.28260176E8	1.06952392E8	1.1723864E8	1.23424832E8	1.08980528E8	1.34176624E8	1.14655816E8	1.06426528E8	1.16145296E8	1.07305952E8	1.08879696E8	1.25734784E8	7.8970472E7	1.02448384E8	1285787.5	1724595.6	1247347.8	1270018.0	1474155.8	1182780.4	1340737.8	1456503.6	1331965.1	1327073.1	1405528.9	0.0	1385970.9	1385056.4	345389.8	1.18408448E8	1.28260176E8	1.06952392E8	1.1723864E8	1.23424832E8	1.08980528E8	1.34176624E8	1.14655816E8	1.06426528E8	1.16145296E8	1.07305952E8	1.08879696E8	1.25734784E8	7.8970472E7	1.02448384E8	4.578238E7	4.0409304E7	3.9578088E7	4.545428E7	4.0450728E7	4.0247496E7	4.6278092E7	3.991354E7	4.040052E7	4.7032556E7	3.9434936E7	4.2823388E7	4.6996492E7	3.1082446E7	4.14722E7	1285787.5	1724595.6	1247347.8	1270018.0	1474155.8	1182780.4	1340737.8	1456503.6	1331965.1	1327073.1	1405528.9	0.0	1385970.9	1385056.4	345389.8	4.578238E7	4.0409304E7	3.9578088E7	4.545428E7	4.0450728E7	4.0247496E7	4.6278092E7	3.991354E7	4.040052E7	4.7032556E7	3.9434936E7	4.2823388E7	4.6996492E7	3.1082446E7	4.14722E7	
sp|O13535|YH11B_YEAST	O13535	YH11B_YEAST	TY1B-H	1793	20.40	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	3:Protein inferred from homology	Transposon Ty1-H Gag-Pol polyprotein -	1.0000	0.9990	22	223	0	223	15	17	16	19	13	13	16	15	16	15	15	15	13	12	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17	16	19	13	13	16	15	16	15	15	15	13	12	13	6.323944E7	6.1634384E7	7.9298664E7	6.6807188E7	5.969308E7	7.7872672E7	6.1404748E7	6.1341328E7	7.6154056E7	6.5188536E7	6.5079224E7	7.3428856E7	6.8135328E7	5.6929932E7	6.3798368E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.323944E7	6.1634384E7	7.9298664E7	6.6807188E7	5.969308E7	7.7872672E7	6.1404748E7	6.1341328E7	7.6154056E7	6.5188536E7	6.5079224E7	7.3428856E7	6.8135328E7	5.6929932E7	6.3798368E7	3.9867108E7	3.9053056E7	4.31371E7	4.1381168E7	4.0816244E7	4.2666788E7	3.9059192E7	3.9164264E7	4.284424E7	4.0050676E7	4.0056784E7	4.198342E7	3.8812452E7	3.409416E7	3.5168784E7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.9867108E7	3.9053056E7	4.31371E7	4.1381168E7	4.0816244E7	4.2666788E7	3.9059192E7	3.9164264E7	4.284424E7	4.0050676E7	4.0056784E7	4.198342E7	3.8812452E7	3.409416E7	3.5168784E7	
sp|O13547|CCW14_YEAST	O13547	CCW14_YEAST	CCW14	238	18.10	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	Covalently-linked cell wall protein 14 -	1.0000	0.9990	3	23	23	23	2	0	2	1	1	1	0	1	3	1	3	3	1	3	1	2	0	2	1	1	1	0	1	3	1	3	3	1	3	1	2	0	2	1	1	1	0	1	3	1	3	3	1	3	1	7924277.0	9261564.0	8238927.5	7533088.0	1.0003155E7	8593628.0	7079070.0	1.1227019E7	9452017.0	8854767.0	1.1063094E7	9586387.0	9164640.0	1.0555782E7	8884036.0	7924277.0	9261564.0	8238927.5	7533088.0	1.0003155E7	8593628.0	7079070.0	1.1227019E7	9452017.0	8854767.0	1.1063094E7	9586387.0	9164640.0	1.0555782E7	8884036.0	7924277.0	9261564.0	8238927.5	7533088.0	1.0003155E7	8593628.0	7079070.0	1.1227019E7	9452017.0	8854767.0	1.1063094E7	9586387.0	9164640.0	1.0555782E7	8884036.0	4478762.0	5170281.5	4291788.0	4421132.5	5623420.0	4054926.0	3785671.0	5554235.5	5003355.0	4989945.0	5798586.0	5248492.0	5000121.0	5585246.5	4616357.5	4478762.0	5170281.5	4291788.0	4421132.5	5623420.0	4054926.0	3785671.0	5554235.5	5003355.0	4989945.0	5798586.0	5248492.0	5000121.0	5585246.5	4616357.5	4478762.0	5170281.5	4291788.0	4421132.5	5623420.0	4054926.0	3785671.0	5554235.5	5003355.0	4989945.0	5798586.0	5248492.0	5000121.0	5585246.5	4616357.5	
sp|O13563|RPN13_YEAST	O13563	RPN13_YEAST	RPN13	156	29.50	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	1:Experimental evidence at protein level	26S proteasome regulatory subunit RPN13 -	1.0000	0.9990	2	23	23	23	1	2	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	1	1	1	1	1	2	2	1	2	2	2	2	2	1	2	1	1	1	1	1	2	2	1	2	2	2	2	2	2012370.8	2693612.0	2726294.5	1969345.2	2570229.0	2578903.0	1897513.0	2561533.2	2508469.5	1793349.5	2281969.5	2110576.5	1783848.1	1894330.4	1867406.8	2012370.8	2693612.0	2726294.5	1969345.2	2570229.0	2578903.0	1897513.0	2561533.2	2508469.5	1793349.5	2281969.5	2110576.5	1783848.1	1894330.4	1867406.8	2012370.8	2693612.0	2726294.5	1969345.2	2570229.0	2578903.0	1897513.0	2561533.2	2508469.5	1793349.5	2281969.5	2110576.5	1783848.1	1894330.4	1867406.8	1493501.6	1713142.1	2115714.2	1427389.9	1698429.8	1911736.5	1352533.2	1820024.5	1859434.5	1263592.5	1621049.2	1665600.4	1311019.6	1383269.4	1427023.1	1493501.6	1713142.1	2115714.2	1427389.9	1698429.8	1911736.5	1352533.2	1820024.5	1859434.5	1263592.5	1621049.2	1665600.4	1311019.6	1383269.4	1427023.1	1493501.6	1713142.1	2115714.2	1427389.9	1698429.8	1911736.5	1352533.2	1820024.5	1859434.5	1263592.5	1621049.2	1665600.4	1311019.6	1383269.4	1427023.1	
