"","metabolite_name","T_L4_D5_03","T_L4_F7_03","T_L4_M8_03","T_L4_D5_06","T_L4_F7_06","T_L4_M8_06","T_L4_D5_09","T_L4_F7_09","T_L4_M8_09","T_L4_D5_12","T_L4_F7_12","T_L4_M8_12","T_L4_D5_18","T_L4_F7_18","T_L4_M8_18","T_L4_D5_21","T_L4_F7_21","T_L4_M8_21","T_L4_D5_24","T_L4_F7_24","T_L4_M8_24","T_L4_D5_27","T_L4_F7_27","T_L4_M8_27","T_L4_D5_30","T_L4_F7_30","T_L4_M8_30","T_L4_D5_33","T_L4_F7_33","T_L4_M8_33","U_L1_D5_03","U_L1_F7_03","U_L1_M8_03","U_L2_D5_03","U_L2_F7_03","U_L2_M8_03","U_L3_D5_03","U_L3_F7_03","U_L3_M8_03","U_L3_D5_06","U_L3_F7_06","U_L3_M8_06","U_L5_D5_03","U_L5_F7_03","U_L5_M8_03"
"HMDB0001844","2-Methylsuccinic acid",2.398,2.472,2.658,2.37,2.433,2.546,1.84,2.024,2.294,2.198,2.266,2.531,2.506,2.272,2.284,2.37,2.725,3.285,2.459,2.597,2.92,2.39,2.725,3.072,2.39,2.725,3.072,2.681,3.305,3.658,0,0,0,0,0,0,0,17.092,18.171,17.608,17.521,18.077,16.787,17.251,17.168
"HMDB0000357","3-Hydroxybutyric acid",3.778,4.106,4.264,3.89,4.158,4.173,3.392,3.859,3.916,3.983,4.186,4.465,3.668,4.203,4.622,3.858,4.358,4.385,3.925,4.337,4.387,3.74,4.579,4.595,3.74,4.579,4.595,3.679,4.372,4.404,0,0,0,0,0,0,0,0,0,0,0,0,16.634,17.817,17.119
"HMDB0000555","3-Methyladipic acid",2.141,2.284,2.446,2.084,1.791,2.081,1.461,1.8,1.656,2.06,2.154,2.362,2.428,2.138,2.057,2.223,2.074,2.854,2.094,2.493,2.698,1.646,1.753,3.596,1.646,1.753,3.596,1.84,2.476,1.798,0,0,0,0,0,0,0,0,0,0,0,0,14.382,13.973,14.248
"HMDB0000755","3-(4-Hydroxyphenyl)lactate (HPLA)",3.373,2.934,3.536,3.152,3.22,3.601,3.331,3.158,3.339,3.698,2.609,3.084,3.319,3.242,3.57,3.257,2.92,3.227,3.322,3.139,3.291,3.231,3.055,3.561,3.231,3.055,3.561,3.357,3.241,3.751,13.014,13.309,13.613,13.856,13.341,14.255,20.427,20.356,20.861,20.416,20.349,20.825,0,0,0
"HMDB0003911","3-Amino isobutanoate",2.696,2.932,2.926,2.595,2.78,2.805,2.632,2.788,2.797,2.757,2.862,3.237,2.763,2.987,2.993,2.667,2.911,2.886,2.683,3.02,2.922,2.733,3.705,3.461,2.733,3.705,3.461,2.691,2.912,2.994,0,0,0,0,0,0,0,0,0,0,0,0,15.221,15.307,15.486
"HMDB0000752","3-Methylglutaric acid",2.06,2.124,2.183,2.128,2.157,2.236,0.954,1.05,1.202,2.077,2.067,2.108,2.06,2.067,2.004,2.081,2.192,2.556,2.032,2.189,2.348,2.004,2.716,3.285,2.004,2.716,3.285,2.019,2.359,2.642,15.287,14.441,14.113,14.257,14.552,14.282,0,0,0,0,0,0,20.858,20.802,20.976
"HMDB0000779","3-Phenyllactic acid",1.269,1.48,1.531,1.566,1.7,1.718,0.188,0.684,0.595,1.299,1.293,1.31,1.322,1.195,1.251,1.411,1.646,1.531,1.239,1.406,1.411,1.356,1.449,1.551,1.356,1.449,1.551,1.276,1.577,1.726,0,0,0,10.463,10.662,10.595,0,0,0,0,0,0,12.893,12.019,12.936
"HMDB0000112","4-Aminobutyrate",5.751,5.29,6.452,6.163,5.652,6.761,6.057,5.641,6.802,5.802,5.067,6.191,5.81,5.332,6.46,5.828,5.372,6.156,5.784,5.458,6.415,5.698,5.615,6.453,5.698,5.615,6.453,5.823,5.301,6.415,12.872,12.394,13.36,13.834,13.52,13.87,23.24,22.612,23.581,22.846,22.334,23.574,15.637,14.182,15.187
"HMDB0001149","5-Aminolevulinic acid",3.983,3.972,4.538,3.841,3.966,4.055,3.591,3.879,4.307,4.092,4.36,4.21,4.251,4.212,4.811,4.096,4.437,4.518,2.971,4.604,4.535,4.107,3.924,4.592,4.107,3.924,4.592,3.922,4.498,4.566,0,0,0,0,0,0,0,0,0,0,0,0,15.624,16.264,16.155
"HMDB0000267","5-Oxoproline",7.957,7.79,8.363,7.516,7.528,7.728,7.497,7.672,7.998,8.137,8.171,8.296,8.186,8.147,8.568,8.085,8.173,8.473,8.107,8.274,8.373,8.15,7.807,8.336,8.15,7.807,8.336,8.042,8.37,8.571,14.008,15.226,16.377,17.144,17.652,18.708,22.233,23.435,24.113,22.904,23.402,24.177,0,0,0
