"","B1_DDA_FDU_QE.HFX_B4_M8_1","B1_DDA_TMO_Exploris480_B1_M8_1","B1_DDA_APT_QE.HFX_B1_M8_1","B1_DDA_NPS_QE_B1_M8_1","B1_DDA_ZJU_QE.HFX_B1_M8_1","B1_DDA_IRC_Fusion_B1_M8_1","B1_DDA_JNU_Lumos_B2_M8_1","B1_DDA_ABS_QTOF6600_B1_M8_1","B1_DDA_JNU_Lumos_B1_M8_1","B1_DDA_FDU_QE.HFX_B1_M8_1","B1_DDA_FDU_Lumos_B1_M8_1","B1_DDA_NPB_QE.Plus_B1_M8_1","B1_DDA_NPB_QE.HF_B1_M8_1","B1_DDA_TMO_QE.HFX_B1_M8_1","B1_DDA_THU_Lumos_B1_M8_1","B1_DDA_FDU_QE.HFX_B4_F7_1","B1_DDA_TMO_Exploris480_B1_F7_1","B1_DDA_APT_QE.HFX_B1_F7_1","B1_DDA_NPS_QE_B1_F7_1","B1_DDA_ZJU_QE.HFX_B1_F7_1","B1_DDA_IRC_Fusion_B1_F7_1","B1_DDA_JNU_Lumos_B2_F7_1","B1_DDA_ABS_QTOF6600_B1_F7_1","B1_DDA_JNU_Lumos_B1_F7_1","B1_DDA_FDU_QE.HFX_B1_F7_1","B1_DDA_FDU_Lumos_B1_F7_1","B1_DDA_NPB_QE.Plus_B1_F7_1","B1_DDA_NPB_QE.HF_B1_F7_1","B1_DDA_TMO_QE.HFX_B1_F7_1","B1_DDA_THU_Lumos_B1_F7_1","B1_DDA_FDU_QE.HFX_B4_D5_1","B1_DDA_TMO_Exploris480_B1_D5_1","B1_DDA_APT_QE.HFX_B1_D5_1","B1_DDA_NPS_QE_B1_D5_1","B1_DDA_ZJU_QE.HFX_B1_D5_1","B1_DDA_IRC_Fusion_B1_D5_1","B1_DDA_JNU_Lumos_B2_D5_1","B1_DDA_ABS_QTOF6600_B1_D5_1","B1_DDA_JNU_Lumos_B1_D5_1","B1_DDA_FDU_QE.HFX_B1_D5_1","B1_DDA_FDU_Lumos_B1_D5_1","B1_DDA_NPB_QE.Plus_B1_D5_1","B1_DDA_NPB_QE.HF_B1_D5_1","B1_DDA_TMO_QE.HFX_B1_D5_1","B1_DDA_THU_Lumos_B1_D5_1"
"AAAS",0.084,1.251,4.785,-6.644,0.306,-2.537,-6.644,-6.644,0.3,0.682,-3.799,-1.334,-2.07,0.128,-1.022,1.676,0.428,-1.133,-6.644,-6.644,1.312,-6.644,-6.644,0.708,-3.739,-6.644,-1.775,-2.396,-0.139,-1.166,0.009,1.574,-0.782,4.047,-0.009,1.279,-1.023,-6.644,-0.486,1.137,-3.173,-6.644,-1.918,0.112,-0.296
"AACS",0.353,0.023,1.741,0.568,-6.644,1.466,1.853,-6.644,1.056,0.097,-1.139,-1.921,-1.505,-6.644,-2.445,0.619,-1.536,2.04,-6.644,-0.097,1.281,1.291,-0.551,-1.975,-0.252,-1.375,-1.486,1.838,0.308,-0.228,-0.385,-0.369,1.494,-6.644,-6.644,1.218,0.304,-6.644,0.716,-1.178,-2.085,1.412,-0.49,1.819,0.081
"AARS",5.614,5.887,5.235,5.792,5.981,5.603,6.256,5.275,5.743,5.384,6.097,5.524,5.984,5.95,6.239,6.162,6.467,6.249,6.634,6.513,6.327,6.678,6.091,6.698,6.014,6.405,6.18,6.583,6.525,6.695,5.881,6.127,5.896,6.248,6.2,6.206,6.716,5.866,6.32,6.44,6.66,6.298,6.498,6.692,6.676
"AARS2",0.082,3.111,-0.177,-6.644,0.882,-1.072,-0.279,-6.644,-6.644,0.678,-2.785,-0.929,-0.415,2.264,-0.556,-0.135,2.479,0.163,-6.644,1.105,0.311,-0.61,-6.644,-0.229,0.037,-6.644,-0.07,-0.701,2.206,-1.698,0.378,2.611,0.807,-0.432,0.539,2.434,0.579,-0.588,0.664,0.547,-3.36,-0.135,-1.094,1.236,-1.179
"AASDHPPT",1.097,3.324,0.285,-1.368,1.837,-2.811,0.486,-6.644,1.038,0.845,0.233,-1.312,1.536,-6.644,0.242,1.808,1.914,0.61,-0.285,2.405,1.773,0.701,-6.644,0.875,1.151,1.679,1.437,1.656,0.464,0.309,1.674,2.834,0.977,-6.644,2.357,2.316,2.267,-0.104,1.756,1.954,1.475,0.725,0.192,1.208,1.126
"AATF",1.758,4.437,1.938,-2.49,-1.131,2.674,-1.107,-1.9,-6.644,-1.479,2.183,-6.644,0.072,-1.161,-0.449,1.9,4.166,-1.601,-6.644,4.716,3.662,4.442,-6.644,-0.775,-1.746,2.542,1.488,1.551,2.796,2.006,1.807,4.392,-2.796,0.692,4.69,3.554,3.982,1.385,0.437,-1.906,-0.537,1.589,0.61,2.12,0.624
"ABCB10",0.341,1.525,-6.644,-6.644,-2.85,-6.644,-6.644,-6.644,-6.644,-6.644,-6.644,-6.644,-6.644,-1.536,-1.254,0.475,1.152,-6.644,-6.644,-0.56,-6.644,-2.284,-6.644,-2.032,-1.384,-6.644,-6.644,-1.695,-0.555,-1.243,-0.169,1.55,-1.565,-6.644,-0.534,-0.956,-1.237,-6.644,-2.458,-1.002,-2.409,-1.48,-0.301,-0.487,-0.386
"ABCB7",1.655,0.039,1.036,-6.644,1.315,2.343,2.141,2.049,-1.2,1.182,1.084,0.11,-1.678,2.373,1.339,0.271,1.769,-0.489,-6.644,0.429,0.01,1.221,-6.644,-1.234,0.359,1.025,0.669,-0.865,2.583,-0.66,0.113,1.986,1.605,-1.561,-0.423,1.819,-0.386,-6.644,0.241,1.601,0.673,-0.034,-0.814,2.782,-0.086
"ABCD3",-6.644,0.918,0.079,-6.644,0.371,1.15,0.209,-0.328,0.515,0.36,-0.025,-0.643,-1.07,1.138,-0.195,-6.644,0.873,2.11,-6.644,0.165,0.732,-0.467,-1.471,-1.666,-0.919,-0.127,-1.207,-0.978,0.024,-0.265,-0.431,0.651,-1.355,-6.644,-0.808,-0.433,-0.076,-6.644,-6.644,-6.644,-0.436,-6.644,-6.644,0.073,-1.511
"ABCE1",4.293,4.354,3.032,2.961,3.668,4.162,3.632,3.293,3.46,3.727,3.437,3.241,3.799,3.908,3.825,4.52,4.418,4.236,4.666,4.317,3.669,3.786,2.586,3.024,3.861,3.097,3.351,4.512,3.475,3.887,4,4.358,3.664,3.543,4.148,4.073,3.981,3.064,2.978,4.149,3.296,4.164,3.906,4.628,3.839
"ABCF1",2.19,4.164,3.256,2.614,3.302,2.651,3.477,2.251,2.825,2.714,3.389,3.469,3.096,3.394,2.529,3.157,4.418,3.697,3.432,3.341,2.528,3.725,2.611,3.47,3.653,3.345,3.801,3.175,3.695,2.99,2.863,4.359,2.765,3.065,3.102,3.34,3.99,3.018,3.853,3.602,3.81,3.35,3.305,3.781,3.57
"ABCF2",2.532,3.106,3.611,3.536,-1.228,1.945,2.525,0.572,-0.079,2.555,1.487,0.998,2.555,4.001,-0.83,1.867,-0.092,3.865,0.053,-0.604,1.645,1.716,0.701,1.074,2.568,-0.028,1.956,1.996,2.198,1.855,2.509,0.106,3.557,-0.95,-0.299,2.759,2.28,0.656,2.665,2.748,1.134,2.387,2.092,4.246,1.818
"ABCF3",1.421,3.165,0.769,-6.644,-0.567,0.019,-1.533,-6.644,-6.644,-0.086,-6.644,-2.981,-0.564,1.336,-6.644,0.137,3.285,-6.644,-6.644,0.33,-0.531,-6.644,-6.644,1.449,-1.189,-6.644,-6.644,-0.986,2.745,-6.644,-0.059,2.803,-1.168,-0.289,2.497,-0.064,-4.132,-2.595,-6.644,2.464,-2.627,-1.518,-0.307,2.306,-1.756
"ABHD10",2.8,3.122,2.808,1.578,3.2,3.259,2.653,-0.987,-0.238,0.828,1.949,1.732,2.152,3.91,2.702,3.625,3.3,2.844,1.554,4.318,3.237,3.174,2.024,3.434,1.374,2.794,1.267,2.974,5.274,3.251,3.796,2.543,3.07,-6.644,4.531,3.292,3.156,1.56,1.313,1.497,1.795,1.659,2.592,4.407,3.154
"ABHD12",1.156,0.043,-0.772,-6.644,-6.644,-0.78,-6.644,-6.644,-2.014,-1.412,-6.644,-6.644,-6.644,1.463,-1.009,0.106,0.23,-6.644,-6.644,-6.644,-1.645,-2.393,-6.644,-6.644,-6.644,-6.644,-6.644,-6.644,0.624,-6.644,0.449,0.264,-2.304,-6.644,-0.298,-0.549,-6.644,-6.644,-3.459,-6.644,-6.644,-6.644,0.174,2.321,-0.118
"ABHD14B",3.428,1.336,4.528,3.264,4.889,3.201,4.557,2.913,2.259,3.909,4.233,3.082,2.109,4.812,2.938,3.594,0.882,3.79,1.017,3.942,2.2,3.134,2.667,3.183,2.566,2.381,3.723,1.588,3.65,3.165,3.598,-6.644,3.914,-1.651,1.461,3.127,3.285,3.25,3.285,2.136,2.456,2.697,2.787,4.713,2.277
"ABI1",2.141,2.563,2.463,2.559,2.192,1.728,1.542,1.872,0.221,2.097,-0.266,1.745,2.316,3.427,1.207,2.845,2.489,2.104,2.865,2.665,3.004,0.483,1.308,-6.644,0.98,0.724,-6.644,2.402,2.007,1.579,-1.618,2.476,2.906,2.906,2.077,2.892,1.141,-6.644,-6.644,1.743,0.785,1.317,1.851,2.318,0.947
"ABI3",2.899,3.502,3.011,1.373,-0.026,3.289,2.077,0.963,3.19,2.96,1.209,2.42,2.75,3.97,2.615,2.251,3.517,3.575,-6.644,2.486,-2.149,-1.906,1.949,2.068,0.501,2.033,0.625,3.081,2.664,1.377,0.792,2.212,-0.231,-6.644,-6.644,3.307,2.095,-6.644,3.208,3.473,2.023,2.509,1.776,2.767,0.413
"ABR",-6.644,0.396,-1.145,-6.644,-0.939,-1.262,-2.171,-6.644,-6.644,-0.391,-6.644,-6.644,-6.644,1.505,-2.971,-1.42,0.708,-2.434,-6.644,-3.305,0.106,-6.644,-6.644,-6.644,-6.644,-6.644,-6.644,-6.644,0.114,-6.644,-1.324,0.885,-1.435,-1.804,-0.891,-0.067,-6.644,-6.644,-0.361,-6.644,-6.644,-6.644,-3.632,1.039,-1.843
"ABRACL",4.689,-6.644,6.563,7.139,8.291,7.456,6.062,7.613,6.734,5.566,-6.644,6.237,6.283,7.419,6.283,4.537,-6.644,1.669,7.119,8.019,7.22,5.563,5.571,6.893,4.748,7.605,5.872,5.895,7.209,5.925,3.768,-6.644,5.567,7.009,5.741,7.021,5.253,5.261,6.459,3.942,5.618,5.525,5.511,-6.644,5.541
